date,INFLOW-SR_BER,INFLOW-SR_BLB,INFLOW-SR_BUC,INFLOW-SR_BUL,INFLOW-SR_CFW,INFLOW-SR_CLE,INFLOW-SR_CLK_INV,INFLOW-SR_CRW,INFLOW-SR_DNP,INFLOW-SR_FOL,INFLOW-SR_GNT,INFLOW-SR_HID,INFLOW-SR_HTH,INFLOW-SR_ISB,INFLOW-SR_LL_ENR,INFLOW-SR_LVQ,INFLOW-SR_MCR,INFLOW-SR_MIL,INFLOW-SR_NHG,INFLOW-SR_NML,INFLOW-SR_PAR,INFLOW-SR_PNF,INFLOW-SR_RLL_CMB,INFLOW-SR_SCAGG,INFLOW-SR_SCC,INFLOW-SR_SHA,INFLOW-SR_TRM,INFLOW-SR_TUL,INFLOW-SR_WHI
1923-06-30,0.81,6.48,1.35,84.15,0.7200000000000001,53.01,8.638200000000001,15.03,50.85,134.82000000000002,36.9,6.48,157.77,74.25,78.84,0.0,139.5,191.97000000000003,2.16,132.57000000000002,100.08,274.23,8.73,0.45,5.13,237.6,56.25,0.333,7.829999999999999
1923-07-31,0.18,3.6,0.27,37.53,0.207,18.99,21.132900000000003,17.1,19.08,55.17,23.58,2.8800000000000003,90.0,50.22,33.03,0.0,59.760000000000005,175.23,0.54,57.96000000000001,27.540000000000003,156.51000000000002,4.32,0.18,2.52,190.8,24.66,0.081,1.71
1923-08-31,0.0,0.81,0.0,22.86,0.135,7.11,19.8162,11.16,9.54,12.15,9.54,0.63,12.06,20.07,3.06,0.0,12.06,114.57,0.18,12.78,1.53,37.53,4.05,1.4400000000000002,0.99,172.8,4.86,0.027,3.51
1923-09-30,0.0,0.63,0.0,17.28,0.198,6.12,10.6947,10.62,7.470000000000001,12.87,4.41,0.36,7.11,16.2,5.49,0.0,8.370000000000001,103.59,0.27,11.79,3.33,24.75,3.6,1.89,0.99,174.6,4.86,0.045,2.16
1923-10-31,0.0,1.53,0.0,18.0,0.324,14.4,1.7892,10.44,3.51,13.68,1.98,0.36,14.13,13.95,8.01,0.0,11.88,73.98,1.08,8.55,7.470000000000001,20.07,2.8800000000000003,6.84,1.35,198.0,4.77,0.162,1.71
1923-11-30,0.0,1.71,0.0,15.3,0.117,12.06,5.9139,9.99,5.49,10.62,2.07,0.45,1.98,12.87,4.77,0.0,8.1,56.88,1.08,7.470000000000001,4.680000000000001,13.95,2.3400000000000003,5.4,1.8,183.6,3.51,0.162,1.62
1923-12-31,0.27,2.07,0.0,17.19,0.279,15.93,0.6561,9.45,5.67,10.35,2.16,0.54,3.15,12.420000000000002,3.51,0.0,7.11,36.99,1.62,8.46,5.04,10.62,3.06,13.59,1.71,194.4,3.51,0.234,3.06
1924-01-31,4.05,3.96,0.0,20.52,0.45,17.55,12.0114,9.18,10.89,14.22,2.07,0.7200000000000001,5.22,12.24,6.66,0.009,9.18,35.82,2.16,10.53,7.74,12.420000000000002,3.87,14.4,2.07,201.6,3.87,0.333,4.86
1924-02-29,38.25,8.73,0.0,45.0,0.558,68.13000000000001,35.801100000000005,9.18,13.68,32.4,1.8,0.81,9.36,12.33,14.4,0.018,13.5,39.87,3.15,22.590000000000003,15.390000000000002,15.03,7.29,10.08,4.23,297.90000000000003,4.86,0.468,25.47
1924-03-31,2.7,2.8800000000000003,0.0,21.78,0.468,28.08,3.2202,9.99,11.34,21.69,2.25,1.89,11.97,14.31,10.71,0.0,17.37,73.08,2.16,22.05,16.92,18.72,3.42,7.56,5.13,205.2,6.66,0.333,3.42
1924-04-30,0.81,1.26,0.0,39.51,0.108,37.8,5.9778,7.920000000000001,31.32,61.74,4.95,2.97,52.47,25.74,41.22,0.0,60.48,65.43,2.43,59.22,53.82,78.21000000000001,3.33,4.05,4.680000000000001,187.2,23.85,0.36,2.7
1924-05-31,0.09,1.26,0.0,23.22,0.288,23.58,6.3252,7.829999999999999,24.75,71.01,16.290000000000003,0.9,115.56,37.62,48.15,0.0,81.9,46.98,1.71,66.24,72.09,134.1,1.8,8.46,5.4,163.8,32.580000000000005,0.261,2.7
1924-06-30,0.0,0.36,0.0,9.0,0.045,5.8500000000000005,5.7087,6.57,0.09,15.3,23.13,0.09,12.78,12.6,2.3400000000000003,0.0,11.34,4.41,0.18,12.420000000000002,1.98,27.99,0.54,0.7200000000000001,0.0,150.3,4.86,0.027,0.99
1924-07-31,0.0,0.0,0.0,6.48,0.198,2.25,9.1521,6.12,6.3,2.8800000000000003,14.76,0.0,8.55,7.38,0.27,0.0,3.42,33.66,0.0,3.15,8.91,11.7,0.81,0.27,0.36,152.1,1.4400000000000002,0.0,0.0
