date,GW_01,GW_02,GW_03,GW_04,GW_05,GW_06,GW_07,GW_08,GW_09,GW_10,GW_11,GW_12,GW_13,GW_14,GW_15,GW_16,GW_17,GW_18,GW_19,GW_20,GW_21,GW_AV,GW_CH,GW_EW,GW_HF,GW_IM,GW_MJ,GW_MWD,GW_OW,GW_SBV,GW_SC,GW_SD,GW_VC
1921-10-31,30807.72245,142421.20823,111982.40926,91130.83224,84743.07012000002,127845.42022,36357.3917,174741.92181000003,190953.8164,198888.07576,84683.237781673,92345.64994359692,198723.49214305115,303327.51660259627,362195.78801,88708.61632,89514.4226,277286.85838,154537.51635,147776.13319999998,415733.10696,20003.1062,3496.085,7017.86656,250.0,0.0,2595.146,808.5899655342987,30000.594,2496.546,456.35,7013.626750292498,285.8515
1921-11-30,30643.3984,142458.66556999998,112022.50977,91130.22725,84783.73302000001,127878.19064,36416.45421,174856.94847000003,191044.54609,198903.3366,84677.22342288973,92350.3798024108,198824.37794305116,303380.22215231985,362271.53665,88735.76668,89535.07190000001,277352.9058,154565.24279,147855.42276,415830.02282,20004.743560000003,3490.8403,7029.98292,250.0,0.0,2615.3165,782.0259655342987,30018.186,2510.072,493.103,7026.268550292499,295.816
1921-12-31,30575.96715,142537.97621,112146.17582,91193.0335,84861.75504000002,127937.32408,36464.621600000006,174983.60714000004,191123.09497,198965.74714,84696.50070593155,92373.42816224686,199023.27044305112,303457.66548353405,362423.85319000005,88775.73878,89560.37590000001,277482.61708,154609.51127999998,147940.40855999998,415943.84762,20032.79056,3531.5963,7044.1466,250.0,0.0,2642.0455,759.2409655342988,30020.859,2521.671,528.414,7039.822550292499,302.879
1922-01-31,30522.1389,142581.28196,112227.64096,91164.59878,84916.01148000002,127971.00142,36487.180660000005,175061.63637000002,191148.05695,199014.15006,84716.36646920152,92390.41771546769,199196.06576305116,303525.8083746792,362601.42053000006,88828.09054,89633.66100000001,277636.52974,154646.06402,148029.35135999997,416049.12079,20041.80364,3543.9902999999995,7053.9414,250.0,5.759,2677.9205,735.8619655342987,30023.613,2531.792,582.22,7050.222550292498,303.54999999999995
1922-02-28,30498.0936,142788.35648,112335.6326,91234.62904,85004.41079000001,128082.14136,36542.118570000006,175243.38889000003,191203.36132,199105.55254,84748.50201703422,92417.06178142718,199426.4921847894,303603.57290581445,362764.28774000006,88884.818,89754.1358,277792.1185,154679.94508,148115.71403999996,416157.14701,20042.96092,3543.6808,7059.671719999999,250.0,11.336,2703.964,712.1499655342988,30026.754,2542.137,630.86,7054.323350292499,300.11999999999995
1922-03-31,30457.67755,142874.52419,112412.21289,91208.79333,85087.06699,128153.53462,36578.021080000006,175370.70070000004,191202.04018,199182.51248,84794.3437476806,92481.18464617163,199645.8551156385,303665.61919260613,362866.73805,88952.78316,89845.0448,277989.93352,154711.47883,148203.34777999995,416262.73434,20045.78232,3547.42,7066.538799999999,250.0,12.113,2737.11,688.7459655342988,30031.277,2553.1649999999995,655.0,7060.521350292499,294.7635
1922-04-30,30418.87175,142965.89528,112499.91097,91279.45616,85208.82633000001,128234.1212341858,36632.21859,175490.09200478694,191216.23171,199252.83348,84846.1256276806,92567.050678486,199900.48257509907,303712.10108855873,362956.30458000005,89042.54322,89878.07830000001,278069.3033930253,154738.77713,148282.72313999996,416342.16117,20049.849960000003,3545.3469,7082.12552,250.0,0.0,2753.1135,688.2089655342987,30027.347,2551.7481231555034,655.0,7068.578150292499,280.1285
1922-05-31,30394.39005,143061.71609,112565.0245,91360.81484,85467.01666000001,128268.08034595403,36706.71747,175552.195053558,191299.26016000003,199294.2037931257,84845.78056768059,92612.155048486,200035.66853509907,303757.6691627443,362949.9505900001,89094.9364,90000.41100000001,277976.7448930253,154764.61738,148361.05231999996,416396.7437873123,20056.848160000005,3545.6226999999994,7069.543839999999,250.0,0.437,2765.4155,697.6069655342988,30018.41,2547.6128231555035,655.0,7081.138750292499,258.28799999999995
1922-06-30,30358.94725,143109.31097,112639.00681,91362.48937,85566.68870000001,128274.85390035404,36750.48992878788,175575.8319136373,191315.67032000003,199374.21910119307,84879.01564768059,92684.018628486,200165.41047509908,303792.6386470188,362900.9558800001,89131.83016000001,90103.6081,277898.95249302534,154736.04803,148436.61077999996,416436.68375478266,20065.514400000004,3545.9187999999995,7064.460279999999,250.0,0.0,2770.286,722.3509655342988,30005.635,2548.888823155504,655.0,7056.969678982826,243.67299999999997
1922-07-31,30317.79175,143113.61726,112715.18303,91359.55097,85402.1562218182,128288.53398675405,36735.367988484846,175472.63453569874,191311.46964,199298.0314645274,84853.38846768059,92640.48537848602,200228.3417350991,303830.3146445805,362843.3536100001,89142.41482,90087.74580660168,277834.51075302536,154719.80512627363,148511.59347999995,416455.6159063637,20074.906960000004,3546.829883787291,7058.3074,250.0,0.649,2777.521,753.2069655342988,29983.251,2552.3468231555034,655.0,7032.040582042994,236.29249999999996
