date,GW_01,GW_02,GW_03,GW_04,GW_05,GW_06,GW_07,GW_08,GW_09,GW_10,GW_11,GW_12,GW_13,GW_14,GW_15,GW_16,GW_17,GW_18,GW_19,GW_20,GW_21,GW_AV,GW_CH,GW_EW,GW_HF,GW_IM,GW_MJ,GW_MWD,GW_OW,GW_SBV,GW_SC,GW_SD,GW_VC
1921-10-31,38541.811575,136628.0879,132766.27562,60704.631305,91144.026784,175040.087488,56533.00984383196,190709.73700911296,139434.587199,90230.600064,58855.680564,42594.976154,138230.12641199998,178910.38046699998,309110.544093,64776.079942,97238.54847999998,321394.07546,141930.605698,137102.971336,341302.762644,20003.1062,3496.1710000000003,7016.437110292499,250.0,932.747,2595.146,729.037,30000.98,2497.956,457.337,7015.9402,288.3945
1921-11-30,38597.39697,136694.9375,132815.67143,60706.193152,91169.29323,175067.643984,56509.04302183195,190732.688389113,139416.331217,90245.8768,58858.974104,42588.963705,138232.162834,178959.5797095824,309121.355621,64823.09003399999,97249.09253999998,321392.54469,142043.788897,137118.578808,341414.455191,20004.80756,3484.7513000000004,7029.4894702924985,250.0,933.024,2615.8575,700.8100000000001,30003.86,2512.886,495.779,7029.639,300.164
1921-12-31,38636.656685,136745.053215,132873.83008299998,60776.449608,91230.594798,175140.96469599998,56500.17020883195,190764.029529113,139495.881099,90326.586672,58898.974532,42629.01661399999,138292.157458,179000.6028882438,309213.689954,64858.049034,97260.86813999998,321447.70917,142144.04425099998,137132.228808,341499.90769100003,20035.87456,3530.4393000000005,7044.880150292499,250.0,941.417,2643.1885,677.0590000000001,30006.83,2525.695,532.663,7044.419,308.643
1922-01-31,38664.95788,136774.95479,132895.84574699998,60777.876819000005,91232.43361,175151.017496,56474.36355083195,190786.538014113,139522.776445,90327.26328,58918.530584,42632.52330899999,138310.060168,179035.17131203253,309270.533724,64883.559594,97274.96139999996,321475.59277,142225.61990899997,137145.831056,341563.0345918388,20045.76264,3544.4103000000005,7055.557950292499,250.0,947.794,2680.6925,652.936,30009.890000000003,2536.876,590.105,7055.757,309.956
1922-02-28,38691.53288,136812.05278,132945.97897,60859.730451,91317.715914,175268.661168,56510.13701483195,190839.326219113,139623.894229,90390.54048,58983.196468,42674.33731399999,138392.96130599998,179066.49441864656,309343.301009,64907.445564,97292.89159999996,321514.17037,142299.84066699998,137157.208912,341593.3813718388,20046.95892,3538.5688000000005,7061.685270292499,250.0,953.966,2707.603,628.009,30013.380000000005,2548.304,634.592,7060.1538,310.25199999999995
1922-03-31,38712.949905,136828.02186,132954.17728099998,60860.25229,91324.81360399998,175258.60981599998,56490.54217883195,190867.836684113,139619.715466,90396.880928,58991.45866,42678.51030399999,138436.21122399997,179100.31353170678,309340.826352,64932.389138,97309.30247999995,321577.19381,142321.99956799997,137176.872544,341632.1459868388,20049.93632,3536.1725000000006,7068.919350292499,250.0,954.799,2742.318,603.72,30018.430000000004,2560.484,655.0,7066.7308,305.12449999999995
1922-04-30,38736.855015,136837.420235,132993.5388303398,60913.849915000006,91406.66707799998,175260.41076239757,56518.44136283195,190889.0771366105,139630.023093,90420.039408,59014.641916,42693.55636999999,138502.80569199997,179129.05305852217,309324.949132,64956.28865,97339.43157999996,321621.85631,142329.46167299998,137200.497016,341652.7051988388,20054.00396,3527.8674000000005,7084.915070292499,250.0,955.377,2758.8675,604.375,30015.1,2561.6231231555043,655.0,7075.2466,300.91149999999993
1922-05-31,38755.886715,136824.06072500002,133010.6788184015,60977.542203000005,91522.600772,175213.77501839757,56539.10480483195,190843.49448964323,139716.970764,90548.911072,59134.119988,42793.66161999999,138658.21782399996,179115.77370957844,309434.934446,64988.271974,97395.19981999998,321733.01837,142370.201327,137232.603496,341680.0113638388,20061.002160000004,3521.6927000000005,7071.437390292499,250.0,955.814,2771.1695,615.837,30006.930000000004,2559.325123155505,655.0,7088.5612,279.88699999999994
1922-06-30,38757.81121,136788.3739,133011.5753992257,60879.801594,91498.297608,175142.09333679758,56552.52931183195,190785.3544158028,139715.2446288419,90598.035824,59165.134572,42837.93442299999,138782.81611999997,179189.43202957843,309479.98956,65022.144178,97456.26911999998,321850.6005982512,142386.021261,137258.628456,341702.5373548388,20060.352089502343,3515.756800000001,7039.182830292499,250.0,956.344,2776.04,643.8199999999999,29994.880000000005,2563.364123155505,655.0,7088.406128690327,279.7939999999999
1922-07-31,38755.27801,136780.01008,133006.47103621467,60776.595453,91370.2640486235,175062.74039746958,56519.09670322589,190688.02070705156,139636.24013584192,90546.361744,59056.494288,42763.046322,138843.82749799997,179240.70722957843,309508.91390099993,65043.229246,97438.75103765453,321829.0596283401,142401.51886299998,137290.307256,341720.2428248388,20069.744649502343,3510.6679000000004,7013.769950292499,250.0,957.004,2758.689,678.6189999999999,29973.110000000004,2569.8321231555046,655.0,7080.273031750495,275.83849999999995
