date,GW_01-HGP01,GW_02-HGP02,GW_03-HGP03,GW_04-HGP04,GW_05-HGP05,GW_06-HGP06,GW_07-HGP07,GW_08-HGP08,GW_09-HGP09,GW_10-HGP10,GW_11-HGP11,GW_12-HGP12,GW_13-HGP13,GW_14-HGP14,GW_15-HGP15,GW_16-HGP16,GW_17-HGP17,GW_18-HGP18,GW_19-HGP19,GW_20-HGP20,GW_21-HGP21,GW_AV-HGPAV,GW_CH-HGPCH,GW_EW-HGPEW,GW_HF-HGPHF,GW_IM-HGPIM,GW_IM-SINK,GW_MJ-HGPMJ,GW_MWD-HGPMWD,GW_OW-HGPOW,GW_SBV-HGPSBV,GW_SC-HGPSC,GW_SD-HGPSD,GW_VC-HGPVC
1922-12-31,5.07,8.74,2.15,1.82,3.96,5.053000000000001,0.0,4.359999999999999,7.14,5.5,12.510000000000002,9.46,11.96,2.031589338598223,4.798,0.0,7.130000000000001,10.93,8.767811634781538,6.46,29.85,0.0,23.3,0.0,0.0,0.0,0.0,11.31,100.8,0.0,16.96527334222767,27.53017026006876,0.0,3.5619999999999994
1923-01-31,4.95,9.7,2.15,1.82,5.3,6.593000000000001,0.0,4.15,8.85,6.87,11.93,9.02,11.420000000000002,2.267522211253702,7.739360409076931,0.0,6.44,9.49,55.74,6.03,30.06,0.0,21.85,0.0,0.0,0.0,0.0,9.94,100.8,0.0,0.0,33.92,0.0,3.1919999999999997
1923-02-28,4.95,10.47,2.2,1.99,5.609999999999999,6.843000000000001,31.3,4.3100000000000005,9.58,7.43,12.36,9.35,11.82,2.3158933859822315,16.39821892542475,0.0,7.07,10.39,56.18,6.54,30.77,0.0,22.27,0.0,0.0,0.0,0.0,10.89,91.1,0.0,0.0,38.260000000000005,0.0,3.492
1923-03-31,5.19,14.06,3.37,2.91,6.9,8.403,31.3,4.65,12.76,9.85,13.34,10.07,14.75,80.98025666337611,146.709,0.0,7.57,10.86,57.47,7.56,33.99,0.0,23.01,0.0,0.0,0.0,0.0,13.85,100.8,0.22,0.0,37.16,0.0,6.402
1923-04-30,6.3500000000000005,19.64,9.322417546019498,113.69,9.15,58.58539760239762,0.0,26.89027750247773,16.95,13.03,17.62,13.259999999999998,61.571482784517,25.991733757091243,125.628,0.0,10.98,16.15,58.86,10.53,40.99,12.158648470078518,25.83,9.029000000000003,0.0,0.0,0.0,18.92,97.6,9.33,23.11,31.523000000000025,0.0,19.872
1923-05-31,8.16,43.50710000000001,150.6052578191039,115.1,11.12,99.233,0.0,123.18859266600596,69.93,16.242281466798815,23.24,17.45,170.1794670720763,70.41362290227049,194.034,0.0,14.59,21.57,60.32,15.004313060817555,48.49,22.6,28.43,22.173892766493523,0.0,0.0,0.0,21.32,100.8,15.84,23.11,25.57799999999997,34.31000000000001,26.16200000000001
1923-06-30,10.2,57.72110000000001,160.30681264581568,115.72,92.01116191120737,100.533,31.3,129.7077006937562,72.27,70.33309290962279,27.24,20.43,253.392,0.0,234.296,27.08,97.25368229200448,93.42293625956611,60.95,23.148767896311064,55.42,30.79,30.65,78.86000000000001,0.0,0.0,0.0,25.83,97.6,19.3,23.11,24.58500000000004,27.00207130967305,44.542
1923-07-31,11.8,29.69,189.5163313609468,115.57,256.119,100.373,32.4868106060606,170.3801387512389,71.55,57.98048364717543,30.39,22.77,256.58000000000004,0.0,28.623,31.1,171.97,154.59543637190586,60.41,36.59992622133601,57.57999999999999,0.0,31.94,80.21000000000001,0.0,0.0,0.0,26.950000000000003,100.8,27.91,23.11,32.99537191902188,41.66509693983189,36.982
1923-08-31,11.41,65.88826707768607,81.95942340848136,114.0,220.7055454545455,98.413,31.3,140.5762775024777,68.18,45.85342021803768,29.42,22.05,206.59146908285825,81.96248766041464,227.789,28.68,153.918,115.39143683141516,59.13,35.13639142651098,53.95,8.392738712226603,31.33,83.47,0.0,0.0,0.0,26.090000000000003,100.8,34.41,23.11,45.7,21.86492075677792,37.93999999999767
1923-09-30,9.21,45.23110000000001,3.71,67.0691008991009,103.90818181818184,64.31831357226774,31.3,75.46896134786917,13.55,10.45,24.89,18.68,70.62219352135881,22.39091806515301,66.952,21.980000000000004,19.20440298254055,22.930000000000003,57.58,14.36,46.82,16.526632809996805,29.96,6.346000000000004,0.0,0.0,142.64700000000005,23.15,97.6,15.58,23.11,45.7,40.75974076649353,6.522
1923-10-31,6.94,11.18,2.36,22.54756243756244,76.81463636363637,40.77117182817183,31.3,6.55,10.2,7.9,18.67,14.04,76.04643692307695,44.77074629812439,100.44500000000002,12.47,11.35,17.23,56.44,10.79,38.98,5.549018067163809,27.07,0.0,0.0,0.0,0.0,18.16,100.8,2.88,23.11,40.70570199361961,10.173449707501554,0.5520000000000005
1923-11-30,5.42,10.09,2.15,1.82,5.34,6.773000000000001,31.3,4.949999999999999,8.959999999999999,6.96,14.170000000000002,10.69,15.415,17.732246791707805,5.497,6.009999999999998,8.58,13.01,55.7,8.16,33.3,0.0,25.54,0.0,0.0,0.0,0.0,14.239999999999998,97.6,0.0,23.11,33.616123513247885,0.0,4.112
1923-12-31,5.07,8.74,2.15,1.82,3.96,5.053000000000001,31.3,4.359999999999999,7.14,5.5,12.510000000000002,9.46,13.354,28.628594274432373,4.798,2.629999999999999,7.130000000000001,10.93,55.43,6.46,29.85,0.0,23.3,0.0,0.0,0.0,0.0,11.31,100.8,0.0,23.11,17.27842772961219,0.0,3.5619999999999994
1924-01-31,4.95,9.7,2.15,3.856963036963037,5.3,6.593000000000001,31.3,4.15,8.85,6.87,11.93,9.02,12.564000000000002,36.65942744323792,23.334,15.02,7.697,9.365,55.74,6.03,30.06,0.0,21.85,0.0,0.0,0.0,0.0,9.94,100.8,0.0,21.75,7.5183405183204925,0.0,3.1919999999999997
1924-02-29,4.95,10.47,2.2,1.99,5.609999999999999,6.843000000000001,31.3,4.3100000000000005,9.58,7.43,12.36,9.35,12.313602615598732,33.272227048371164,25.583,16.48,7.33,10.24,56.18,6.54,30.77,0.0,22.27,0.0,0.0,0.0,0.0,10.89,91.1,0.0,23.11,27.18138693527836,0.0,3.492
1924-03-31,5.19,14.06,3.37,9.82908091908092,15.906454545454546,23.815587412587416,31.3,4.65,21.09300395256917,82.99998017839447,13.34,15.820335946384542,69.26320015984015,80.98025666337611,146.709,17.65,22.886000000000003,11.894752328625444,57.47,7.56,33.99,12.52,23.01,0.0,0.0,0.0,0.0,13.85,100.8,0.22,23.11,37.16,0.0,6.402
