date,SR_BER,SR_BLB,SR_BUC,SR_BUL,SR_CAS,SR_CFW,SR_CLE,SR_CLK_INV,SR_CMN,SR_CRW,SR_DLV,SR_DMV,SR_DNP,SR_EBMUD,SR_ENG,SR_FOL,SR_GNT,SR_HID,SR_HTH,SR_ISB,SR_LA,SR_LL_ENR,SR_LVQ,SR_MCR,SR_MHW,SR_MIL,SR_NHG,SR_NML,SR_ORO,SR_PAR,SR_PNF,SR_PRR,SR_PYM,SR_RLL_CMB,SR_SCAGG,SR_SCC,SR_SFAGG,SR_SHA,SR_SKN,SR_SLW,SR_SNL,SR_TAB,SR_TRM,SR_TUL,SR_WHI
2010-05-31,934.7894758370757,137.70914332,64.38220659667256,859.4014912605855,179.78360088791948,103.0,1583.5663659269983,424.9535070642634,4.0,18.3,12.496986363888496,279.6136863272461,1767.0658406888265,99.64431036290956,66.0,946.6096558,11.5,4.0,36.0,147.58029909574378,10.2,55.23311535214694,88.87150990141646,474.47679506204895,78.5,360.4852829256272,90.17185256202386,1858.0548814346728,3538.0,85.49821675219765,345.0139499804488,4.183043409145282,79.81306348058419,65.56,44.202524311434566,45.608624271882,51.3481867137461,4552.0,33.8,75.0,232.8001490382635,9.7,104.5545858614458,11.0,206.002
2010-06-30,888.3339437588517,95.52651690992673,57.359383042612095,890.0,41.17652376158166,102.4300703250651,1851.89299523704,359.31946812658845,4.0,25.407231020626288,12.376521893796664,248.49508353796915,2001.7005742945692,98.4266025438567,66.0,975.0,13.026773758960069,4.0,38.90147584547698,188.67274595669156,10.2,179.8087334676679,88.27695950017598,641.3173814383929,78.5,509.0531501581162,79.98486174133593,2030.709708777284,3538.0,131.11098069242982,678.6840535162628,4.147069235826632,171.2,65.56,37.826050508959554,36.15716468170649,44.05510519741863,4536.349486353181,33.8,75.0,202.0305903331214,11.8,118.20696986924128,11.0,185.4345470147449
2010-07-31,830.3636311541325,69.57983192932161,10.074044225054148,789.2660559983455,101.23838890762616,1.0,1682.321864174282,169.85350015149032,60.947518232622194,18.3,12.217505295499016,230.4,1715.0656127648804,96.69380076191636,67.0,949.999,11.5,4.0,104.04421695890672,136.7693280874629,10.2,163.1615073809707,87.60605460797464,552.4882946219295,78.5,304.9730953563234,65.81343686700963,2075.404856010141,3538.0,55.256925569544535,521.1264274897595,4.1,4.8,65.56,37.51279997566737,11.800932301020651,37.312262988887646,4003.8608777506615,33.8,40.87758699000001,170.3438573185374,9.7,0.57,11.0,181.5
2010-08-31,781.3761585057539,41.30565943357061,10.0,635.0326142009104,35.27644578379501,1.0,1441.4928251294164,109.79919598219864,31.17799397125636,18.3,12.075790095102851,230.4,1447.7037279969063,95.3510201042363,67.0,786.2504543418083,11.5,4.0,82.88315974179602,5.7532271829698765,10.2,113.15060263253493,87.0112094971865,422.19523525990473,78.5,159.73750608082992,51.170484031695416,2058.586802401083,3538.0,43.76131725076007,182.96291775169763,4.1,4.8,17.13843161069321,37.0,3.545616909159422,31.0,3449.5012445108,33.8,20.0,139.29310198948488,9.7,3.212944936976057,11.0,181.5
2010-09-30,753.8361152712952,10.0,10.0,608.6055553167222,18.6,1.0,1208.338300205388,61.50115337466628,4.0,18.3,11.94963777425016,230.4,1409.3493326113428,95.5218695072892,67.0,650.0,11.5,4.018323555412682,57.14806079071501,0.184,10.2,63.38049605808448,84.65835588598549,285.79524238357607,78.5,122.04651502871236,38.92096804841351,1900.3476493219189,3175.6224239245844,29.677835314592677,63.202371420089,4.1,4.8,6.56,37.23570199361961,0.556883784082,31.0,3391.711844213418,33.8,20.0,109.87274856620564,9.7,0.57,11.0,181.50000000000003
2010-10-31,742.2790815628747,10.0,10.0,610.1100906702264,27.01338522427567,1.0,1216.9756004748174,0.0,4.0,18.3,11.886688239632663,230.4,1412.4813342056557,99.3254774069164,66.0,658.87317562,11.5,4.0,78.8181056014136,0.184,10.2,54.38587912021935,84.39252864850347,221.0383851944594,78.5,120.0,30.28841184717841,1720.6558652801189,3162.0,22.23814730799637,45.379,4.1,4.8,39.20676715,37.0,0.556883784082,31.0,3284.329560497953,33.8,24.594694680693944,80.0,9.7,0.57,11.0,181.5
2010-11-30,743.9352607432619,15.3521068,10.0,562.7766820390555,18.6,20.14315782585188,1260.819024942536,12.88271418,4.0,33.2811302376951,11.865146079285015,230.4,1461.9748362485188,105.623648585856,64.0,409.63294090218255,11.5,4.0,83.362244416005,19.5213312,10.2,30.1,84.27269125782261,230.556985884748,78.5,120.0,17.5,1751.9594071034862,2913.001,12.2,70.88635174545455,4.1,96.01021219707032,65.56,37.0,0.556883784082,31.0,3252.0,33.8,26.468193508789646,158.8264291129306,11.8,0.57,11.0,181.501
2010-12-31,815.1686322954977,68.92,41.278524,645.0,132.2501634478456,103.0,1264.0005272226863,156.862527451566,4.0,18.3,11.882894271464714,261.035,1689.028824770637,113.49272513699135,62.0,575.0,11.5,8.753439827871718,129.83779495713458,128.45745247104,10.2,46.55786203999999,72.07148414702957,393.55868279475845,127.9156932171266,269.8026057855371,37.37170955,1950.0,2973.0,104.98498491393914,276.297378685861,4.304660858667283,4.8,65.56,37.0,9.75,37.31694243128073,3368.0,33.8,33.492507225910835,553.742186721598,9.7,9.94,11.0,234.998
2011-01-31,844.4560114655367,57.39,62.35107744944001,544.2008644864129,220.7251455823199,103.0,1384.3053074077866,206.46531828019187,4.0,18.3,13.712966192345156,292.473483,1690.0,121.60338085508045,62.0,575.0,11.5,29.0,144.09541452271503,183.36,10.2,48.36070225584979,72.0,463.6393901643301,143.09046878678188,306.8338608857464,17.5,1950.0,3163.0,12.2,437.9484255771078,4.293640926869094,4.8,65.56,37.0,9.02,34.93341240936088,3692.776086271152,44.0,41.63042884968244,1049.5151649536683,9.7,9.17,67.0,181.5
2011-02-28,921.6425495456598,57.82,65.26061914911665,433.1412475257719,213.03029346890625,103.0,1457.99218967249,309.47911658259846,4.0,18.3,15.38775304236331,292.7042846532991,1689.999,127.36166165956014,62.0,441.5638939199999,11.5,4.0,152.75388285887277,233.6462388,10.2,30.1,72.7519506,523.8217935004938,81.62670507301475,274.28523555898687,37.71099748186311,1950.0,2896.0,21.267226047130706,494.2908579570064,4.297591076521814,91.2178266,65.56,37.0,13.02,34.94225845101429,3828.501855511396,33.97255328255933,55.86513047574142,1461.1058970573074,11.8,8.85,11.0,189.07570034000003
2011-03-31,1137.0819825033232,77.19,118.0,520.956044869828,323.7,103.0,1677.8251645823111,566.81,4.0,18.3,22.80882854950758,323.8055721684973,1689.999,134.48301626385924,64.0,680.0,11.5,47.0,190.54796178078556,282.9107339239529,10.2,39.95119472,77.95739529474479,643.4058548504518,78.89351068141504,297.9961948661106,178.0,2019.0,3002.001,174.42635116419936,619.866207796958,4.289726484851779,4.8,65.56,37.0,22.29,45.59700236830137,4330.0,44.0,32.185215040979294,1752.2615310765032,9.7,10.56,11.0,206.002
2011-04-30,1137.4646926368337,125.33,127.0,694.0509291011082,206.6897788409559,103.0,1899.999,550.97600547,132.2765628983047,18.3,28.07858531441009,293.3824202500374,1689.999,138.2891400410899,65.0,800.001,11.5,58.0,184.2593627966935,426.25,10.2,30.1,86.98525279078918,676.523310070583,78.5,389.8955773891304,201.993037,2206.0,3363.0,198.0,791.457921091313,4.263044386116001,97.02837072,65.56,46.16098080000001,54.41,53.67252313928391,4552.0,38.569848,52.21790791647887,1974.7005442862037,9.7,67.02,11.0,206.001
