date,HSU101D5-A101,HSU101D74-A101,HSU101SR3-A101,HSU102C1-A102,HSU102C11-A102,HSU102C9-A102,HSU102D77-A102,HSU103AC13-A103A,HSU103AC30-A103A,HSU103AD66-A103A,HSU103BC11-A103B,HSU104D30-A104,HSU202C35-A202,HSU202C77-A202,HSU202C80-A202,HSU202C83-A202,HSU202D31-A202,HSU202D43A-A202,HSU202SR_6-A202,HSU203C16-A203,HSU203C21-A203,HSU203C314-A203,HSU204C33-A204,HSU204C67-A204,HSU204D42-A204,HSU206D507-A206,HSU206D515-A206,HSU206D521-A206,HSU206D523-A206,HSU207C173-A207,HSU207C37-A207,HSU207C43-A207,HSU207D98-A207,HSU302D16-A302,HSU302D662-A302,HSU302D664-A302,HSU302D672-A302,HSU302D689-A302,HSU303C10-A303,HSU303C30-A303,HSU303C85-A303,HSU303D731-A303,HSU303D803-A303,HSU305D645-A305,HSU305D649-A305,HSU305D662-A305,HSU305D664-A305,HSU305D699-A305,HSU306C72-A306,HSU306D606-A306,HSU306D624-A306,HSU306D634-A306,HSU306D645-A306,HSU306D649-A306,HSU306D694-A306,HSU306D731-A306,HSU401C49-A401,HSU401C53-A401,HSU401D606-A401,HSU402AD60-A402A,HSU402AD74-A402A,HSU403C53-A403,HSU403C76-A403,HSU404AC49-A404A,HSU404AC52-A404A,HSU404AC56-A404A,HSU404AD60-A404A,HSU404AN9-A404A,HSU404BN9-A404B,HSU405C56-A405,HSU405C58-A405,HSU405C688-A405,HSU407C63-A407,HSU407C64-A407,HSU407C65-A407,HSU408AC74-A408A,HSU408AN10-A408A,HSU408AN11-A408A,HSU408AN12-A408A,HSU408BC65-A408B,HSU408BN10-A408B,HSU408BN11-A408B,HSU408BN12-A408B,HSU409AC65-A409A,HSU409AC68-A409A,HSU409AC74-A409A,HSU409BD86-A409B,HSU409CD86-A409C,HSU501C106-A501,HSU502N7-A502,HSU507C147-A507,HSU508C141-A508,HSU509C154-A509,HSU510C152-A510,HSU511N8-A511,HSU512C143-A512
1921-10-31,6.107999999999997,0.0,0.0,0.0,0.9785,1.7135,26.136,36.78951817413357,0.0,0.0,26.94167371090449,20.43756243756244,0.0,0.0,61.91787636363637,0.0,0.0,5.21576,0.0,26.384351588171832,0.0,6.443820239999999,0.0,11.819128787878787,0.0,23.205533596837952,0.0,0.0,0.0,5.896,0.352,10.12,23.232,0.0,0.0,0.0,0.0,35.401140684410635,0.0,64.23092170465809,0.0,0.0,0.0,4.838,10.988,14.731443587270974,1.8040000000000005,4.059,0.0,31.474840781174187,16.54410161272473,20.38913452917801,0.0,0.0,0.451,9.064,6.324,0.0,6.339585951940849,4.018000000000001,43.18338203356368,16.144,11.997000000000002,0.0,0.0,24.948,67.23900000000002,0.0,4.236000000000001,39.75999999999999,21.082,0.0,26.43070787637089,0.0,0.0,0.0,0.0,0.0,16.811,26.91,0.0,0.0,0.0,5.192958097509572,0.0,18.003682218695953,14.201581027667988,10.591897233201582,5.918,2.76,9.99,19.18,10.158,91.02,1.5200000000000002,4.25
1921-11-30,0.7010000000000001,0.0,0.0,1.7423999999999995,0.9785,0.5001,0.0,17.2603550295858,0.0,0.0,12.65004226542688,9.832167832167832,0.0,0.0,38.0890909090909,0.0,0.0,0.0,0.0,0.0,0.0,1.771228771228771,0.0,4.080643939393939,2.64,3.045454545454545,0.0,0.0,0.0,2.595639246778989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.757604562737644,0.0,27.50941526263628,0.0,0.0,0.0,0.0,3.627838958534237,0.0,1.8040000000000005,4.059,0.0,7.110889110889112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.467652495378928,4.018000000000001,16.226817374136235,0.0,0.382,0.0,0.0,1.883433612910919,8.113566387089081,0.0,0.4569999999999999,0.0,5.779,0.0,0.5752741774675972,0.0,0.0,0.0,0.0,0.0,1.903,3.0460000000000003,0.0,0.0,0.0,0.0,0.0,1.3656126482213438,0.9061264822134388,0.632411067193676,0.33,0.148,0.7100000000000002,1.36,0.548,6.43,0.0999999999999999,0.3
1921-12-31,0.0,0.282,0.0,0.0,0.263,0.0,0.0,7.609467455621301,0.0,0.0,5.574809805579035,7.795204795204797,0.0,0.0,0.0,19.783454545454557,5.472,0.0,0.0,0.0,0.0,0.3256743256743257,0.0,7.3863636363636385,0.0,0.1828063241106719,0.0,0.0,0.0,0.8315163528245791,0.0,0.0,0.0,0.0,0.0,5.270912547528516,0.0,0.0,0.0,14.993062438057487,0.0,0.0,0.0,0.0,2.312506268081001,0.0,1.8040000000000005,4.059,0.0,3.243756243756244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.018000000000001,27.428199407699896,0.0,0.0,0.0,0.0,4.4180310399007245,5.918968960099276,0.0,0.478,0.0,1.7399999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.099,0.0,0.0,0.0,0.164,0.0,0.0,0.0,0.0,0.0,0.06,0.025,0.25,0.49,0.099,2.45,0.02,0.11
1922-01-31,0.0,0.081,0.0,0.0,0.226,0.0,0.0,4.141166525781912,0.0,0.0,3.016060862214709,2.0369630369630376,0.0,0.0,0.0,4.520727272727269,5.472,0.0,0.0,0.0,0.0,0.2877122877122878,0.0,7.041666666666665,0.0,0.3132411067193676,0.0,0.0,0.0,0.2408325074331021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.037072243346007,0.0,13.314172447968293,0.0,0.0,0.0,0.0,0.0,0.0,0.4636615236258441,4.059,0.0,4.575424575424576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4621072088724585,4.018000000000001,31.29789338598224,0.0,1.257,0.0,18.555,0.0,0.0,0.0,0.0,0.0,8.575999999999999,0.0,6.544366899302094,0.0,0.0,0.0,0.0,0.0,5.924,0.0,0.0,0.0,9.511,0.0,0.0,8.59683794466403,5.687747035573123,4.0098814229249005,0.06,0.019,2.45,4.71,0.09,22.37,0.37,1.0499999999999998
1922-02-28,0.0,0.0,0.0,0.0,0.5450000000000002,0.0,0.0,2.568047337278107,0.0,0.0,1.8799661876584957,1.7952047952047951,0.0,0.0,0.0,0.0,1.9472727272727277,0.0,0.0,0.0,0.0,0.4065934065934066,0.0,3.8315909090909086,2.64,0.0,0.0,0.0,0.9476284584980238,0.0,0.1922695738354807,0.0,0.0,0.0,0.0,0.0,0.0,9.56083650190114,0.0,31.289395441030727,0.0,0.0,0.0,0.0,0.0,1.5719083895853396,1.8040000000000005,4.059,0.0,11.193806193806198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1358595194085027,4.018000000000001,31.974102665350443,0.0,0.26,0.0,3.743382483330331,15.581617516669672,0.0,0.0,0.0,0.0,15.896,0.0,2.253240279162513,0.0,0.0,0.0,0.0,0.0,3.325,0.0,0.0,0.0,5.328000000000001,0.0,0.0,3.892292490118579,2.581027667984189,1.8043478260869568,0.08,0.029,1.5200000000000005,2.91,0.126,13.79,0.22,0.6399999999999999
1922-03-31,0.0,0.355,0.0,1.7423999999999995,0.9785,0.0,5.862100000000002,9.07776838546069,0.0,0.0,6.65511411665258,6.91908091908092,0.0,0.0,3.003454545454545,0.0,5.472,0.0,0.0,0.0,0.0,15.412587412587415,5.990681818181815,0.0,2.64,8.333003952569172,0.0,0.0,0.0,5.849355797819624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.31844106463878,0.0,75.71952428146682,0.0,0.0,0.0,4.838,10.988,15.032311475409829,1.8040000000000005,4.059,0.0,0.0,4.364365592332678,3.113288829110541,56.75758573839693,2.4096,0.451,9.064,0.0,23.32003748613677,10.58292,4.018000000000001,74.32355972359329,15.316,0.0,0.0,28.296,0.0,0.0,0.0,0.0,14.947247270012726,21.082,77.13875272998727,44.54086029229498,2.920754862241414,0.0,0.0,0.0,0.0,29.168,0.0,0.0,0.0,40.927,32.448891912848346,0.0,1.2151397077050228,25.22529644268775,18.883399209486164,3.05,1.295,18.07,34.69,4.769,164.61,2.75,7.69
1922-04-30,0.0,5.601000000000004,0.0,1.7423999999999995,0.9785,19.907100000000007,26.136,97.20710059171594,0.0,0.0,64.26,111.45154845154846,7.655999999999999,0.0,154.0683636363636,0.0,5.472,0.0,0.0,33.879999999999995,0.0,29.92,29.04,19.777386363636364,2.64,0.0,0.0,0.0,76.95750988142295,5.896,2.112,10.12,23.232,0.0,0.0,0.0,0.0,80.75665399239541,0.0,93.3092170465808,0.0,0.0,0.0,4.838,10.988,56.11349083895856,1.8040000000000005,0.0,0.0,61.45076063936067,0.0,0.0,100.45,2.2236000000000007,0.451,9.064,0.0,50.63770794824397,0.0,0.0,45.67324777887463,73.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.894,44.2866,18.734337188434708,0.0,0.0,0.0,0.0,19.505000000000003,0.0,0.0,0.0,29.332,26.81027667984189,0.0,0.0,16.886363636363637,13.336956521739127,5.598,6.527,17.150000000000002,32.92,24.021,156.25,2.61,7.299999999999999
1922-05-31,0.0,9.462000000000002,0.0,1.7423999999999995,0.9785,25.784,26.136,127.56128486897713,0.0,0.0,64.26,171.77022977022978,7.655999999999999,0.0,191.2156363636363,0.0,5.472,0.0,0.0,33.879999999999995,13.495004995005054,29.92,29.04,23.373977272727263,2.64,37.41141501976279,47.61600000000001,34.038000000000004,80.4,5.896,2.112,10.12,23.232,0.0,0.0,0.0,0.0,116.11882129277568,6.321991080277485,100.04800000000002,25.575000000000003,0.0,1.0559999999999998,4.838,10.988,86.51350723240117,1.8040000000000005,4.059,0.0,171.60067172827172,0.0,0.0,100.45,2.1626000000000003,0.451,9.064,0.0,72.56931608133087,0.0,0.0,0.0,171.77299999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.57299999999998,21.082,160.23900000000003,45.75600000000001,64.54200000000002,1.2643130608175568,0.0,0.0,0.0,36.825,0.0,0.0,0.0,51.117,46.532608695652165,0.0,0.0,39.63339920948616,29.747035573122528,5.958,13.71,35.77,68.71000000000001,50.45100000000001,326.09000000000003,5.45,15.24
1922-06-30,6.9350000000000005,3.687,0.0,1.7423999999999995,0.9785,25.784,26.136,124.67914846999156,13.713919999999998,0.0,64.26,76.77605394605398,7.655999999999999,0.0,238.87399999999988,0.0,0.0,0.0,0.0,33.879999999999995,27.044455544455595,29.92,27.1264318181818,43.208,2.64,70.30799999999999,47.61600000000001,34.038000000000004,80.4,5.896,2.112,10.12,23.232,0.0,54.120000000000005,0.0,0.0,68.37239543726231,7.843008919722507,132.525,25.575000000000003,0.0,1.0559999999999998,2.731399228543877,10.988,96.596,1.8040000000000005,4.059,0.0,210.3092361638362,0.0,0.0,100.45,1.8896,0.451,9.064,0.0,73.0536044362292,0.0,0.0,0.0,177.155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.03420825112924,21.082,160.23900000000003,44.2866,64.54200000000002,6.048767896311063,0.0,0.0,0.0,43.235,0.0,0.0,0.0,1.38,55.56324110671937,0.0,0.0,48.248023715415016,38.63537549407115,6.478,16.482,45.09,86.60999999999999,60.642,411.03,6.869999999999997,19.21
1922-07-31,6.9350000000000005,4.759999999999993,0.0,1.7423999999999995,0.9785,25.784,26.136,147.44632290786137,0.0,0.0,64.26,91.48534465534468,0.0,0.0,148.43070444168777,0.0,5.472,9.15464,0.0,33.879999999999995,37.752,29.92,29.04,43.208,2.64,70.30799999999999,47.61600000000001,34.038000000000004,80.4,5.896,2.112,10.12,23.232,0.0,0.0,0.0,0.0,125.57984790874522,21.139341922695763,132.525,25.575000000000003,0.0,1.0559999999999998,4.838,10.988,96.596,1.8040000000000005,4.059,0.0,153.65481258741258,51.578,38.704,100.45,1.6856000000000004,0.451,9.064,6.324,67.60668391866912,0.0,0.0,0.0,87.93047765455182,11.997000000000002,0.0,6.464,0.0,0.0,0.0,0.0,15.68356417671411,18.805065912260797,160.23900000000003,45.75600000000001,16.07392622133601,66.528,0.0,0.0,0.0,45.868,0.0,0.0,0.0,1.594,60.45355731225296,0.0,0.0,45.1205533596838,42.14130434782609,6.538,18.508,49.290000000000006,94.68,68.116,459.35120000000006,7.5000000000000036,21.0
