date,PMP_Banks-D800,PMP_Tracy-D701
1921-10-31,300.0687946150685,258.25
1921-11-30,187.5795700906624,157.49937550415555
1921-12-31,65.1106815909308,145.19840494320044
1922-01-31,330.5,258.25
1922-02-28,346.57337718161784,233.25
1922-03-31,455.6427215664051,258.25
1922-04-30,397.0,249.92
1922-05-31,411.0,282.79
1922-06-30,397.0,273.72
1922-07-31,141.64,258.25
1922-08-31,174.7960263717115,258.25
1922-09-30,150.4836173003891,249.92
1922-10-31,226.4895,258.25
1922-11-30,157.50480836414525,175.47062550415552
1922-12-31,453.0,258.25
1923-01-31,509.0,258.25
1923-02-28,305.91729684791426,233.25
1923-03-31,236.07,258.25
1923-04-30,397.0,249.92
1923-05-31,336.9426964262069,258.25
1923-06-30,182.76,214.35164536553
1923-07-31,173.35574535042483,258.25
1923-08-31,111.64802637171148,258.25
1923-09-30,276.9366622134388,249.92
1923-10-31,226.97996640316205,258.25
1923-11-30,215.28431087123587,173.71747407560613
1923-12-31,165.74324322826098,182.68262682534743
1924-01-31,150.6923498606913,157.6702868354074
1924-02-29,150.18938835054757,163.9799084973667
1924-03-31,188.86,75.63377423988851
1924-04-30,57.47644413396517,155.1915459846119
1924-05-31,94.43,192.755302662691
1924-06-30,45.69,130.06228696485667
1924-07-31,94.43,44.23776454972602
1924-08-31,94.43,88.19646723192648
1924-09-30,104.76594845218472,195.9405515478153
1924-10-31,196.6461844137052,142.7178055862948
1924-11-30,145.58900448022317,142.6113259211643
1924-12-31,188.86,179.83987005360842
1925-01-31,172.2269244336776,119.80138556632238
1925-02-28,408.0,233.25
1925-03-31,236.07,227.105105
1925-04-30,397.0,249.92
1925-05-31,288.3638299802373,258.25
1925-06-30,182.76,78.87832853967438
1925-07-31,94.43,173.66527380320156
1925-08-31,94.43,126.58546723192649
1925-09-30,172.62481849046466,208.8381637229741
1925-10-31,208.74508678476556,163.25741321523446
1925-11-30,209.3155017931593,165.43228315368273
1925-12-31,162.33051750665842,183.04035254695
1926-01-31,188.86,158.60330999999996
1926-02-28,351.9582968479143,233.25
1926-03-31,236.07,164.35510499999995
1926-04-30,372.9114751185771,249.92
1926-05-31,223.0849832164757,258.25
1926-06-30,182.76,150.717833389338
1926-07-31,94.43,196.80437673307227
1926-08-31,94.43,161.02746723192655
1926-09-30,158.75478146374888,181.4592007496899
1926-10-31,192.0175841154676,167.50691588453248
1926-11-30,287.63176599528447,165.0320189515575
1926-12-31,179.86287718176368,180.7479928718447
1927-01-31,278.15730999999994,258.25
1927-02-28,427.0,233.25
1927-03-31,439.0,258.25
1927-04-30,397.0,249.92
1927-05-31,311.78482998023736,258.25
1927-06-30,195.99130762038337,236.49627184560407
1927-07-31,184.06350000000003,258.25
1927-08-31,134.00102637171153,258.25
1927-09-30,211.36193990394827,249.92
1927-10-31,287.21650000000005,258.25
1927-11-30,197.74712867379185,179.30892380510087
1927-12-31,188.86,252.7028700536084
1928-01-31,188.86,242.01931
1928-02-29,233.48978500000004,233.25
1928-03-31,468.0,282.84
1928-04-30,397.0,249.92
1928-05-31,191.32888227293972,191.4211158239125
1928-06-30,182.76,75.4773385396744
1928-07-31,193.5215386229567,258.25
1928-08-31,142.06846723192655,258.25
1928-09-30,15.336432637383446,49.17881720430107
1928-10-31,198.6942267349412,150.54763826505882
1928-11-30,62.436816214418826,155.99661806629464
1928-12-31,186.87339721770883,185.7194728358996
1929-01-31,163.7854655267396,144.75217116935912
1929-02-28,170.06571148099795,165.07674499916692
1929-03-31,231.0819264979804,118.61255730115202
1929-04-30,137.07,204.36298500000004
1929-05-31,167.65473320604363,37.62209677419355
1929-06-30,69.62366009830382,27.922612903225804
1929-07-31,94.43,35.926499999999976
1929-08-31,94.43,111.82446723192652
1929-09-30,120.50170211276138,210.10579788723857
1929-10-31,185.37065663183105,33.51184336816895
1929-11-30,138.81132780958538,168.2251721904146
