date,HSU101D5-A101,HSU101D74-A101,HSU101SR3-A101,HSU102C1-A102,HSU102C11-A102,HSU102C9-A102,HSU102D77-A102,HSU103AC13-A103A,HSU103AC30-A103A,HSU103AD66-A103A,HSU103BC11-A103B,HSU104D30-A104,HSU202C35-A202,HSU202C77-A202,HSU202C80-A202,HSU202C83-A202,HSU202D31-A202,HSU202D43A-A202,HSU202SR_6-A202,HSU203C16-A203,HSU203C21-A203,HSU203C314-A203,HSU204C33-A204,HSU204C67-A204,HSU204D42-A204,HSU206D507-A206,HSU206D515-A206,HSU206D521-A206,HSU206D523-A206,HSU207C173-A207,HSU207C37-A207,HSU207C43-A207,HSU207D98-A207,HSU302D16-A302,HSU302D662-A302,HSU302D664-A302,HSU302D672-A302,HSU302D689-A302,HSU303C10-A303,HSU303C30-A303,HSU303C85-A303,HSU303D731-A303,HSU303D803-A303,HSU305D645-A305,HSU305D649-A305,HSU305D662-A305,HSU305D664-A305,HSU305D699-A305,HSU306C72-A306,HSU306D606-A306,HSU306D624-A306,HSU306D634-A306,HSU306D645-A306,HSU306D649-A306,HSU306D694-A306,HSU306D731-A306,HSU401C49-A401,HSU401C53-A401,HSU401D606-A401,HSU402AD60-A402A,HSU402AD74-A402A,HSU403C53-A403,HSU403C76-A403,HSU404AC49-A404A,HSU404AC52-A404A,HSU404AC56-A404A,HSU404AD60-A404A,HSU404AN9-A404A,HSU404BN9-A404B,HSU405C56-A405,HSU405C58-A405,HSU405C688-A405,HSU407C63-A407,HSU407C64-A407,HSU407C65-A407,HSU408AC74-A408A,HSU408AN10-A408A,HSU408AN11-A408A,HSU408AN12-A408A,HSU408BC65-A408B,HSU408BN10-A408B,HSU408BN11-A408B,HSU408BN12-A408B,HSU409AC65-A409A,HSU409AC68-A409A,HSU409AC74-A409A,HSU409BD86-A409B,HSU409CD86-A409C,HSU501C106-A501,HSU502N7-A502,HSU507C147-A507,HSU508C141-A508,HSU509C154-A509,HSU510C152-A510,HSU511N8-A511,HSU512C143-A512
1921-10-31,6.107999999999997,0.0,0.0,1.7423999999999995,0.9785,0.0,26.1071,36.78951817413357,0.0,0.0,26.94167371090449,20.43756243756244,0.0,0.0,61.91787636363637,0.0,0.0,5.21576,0.0,16.282839656050584,0.0,16.545332172121253,0.0,11.819128787878787,0.0,23.205533596837952,0.0,0.0,0.0,5.896,0.352,10.12,23.232,0.0,0.0,0.0,0.0,36.44486692015208,0.0,64.23092170465809,0.0,0.0,0.0,4.838,10.988,14.731443587270974,1.8040000000000005,4.059,0.0,31.474840781174187,16.54410161272473,20.38913452917801,0.0,0.0,0.451,9.064,6.324,0.0,6.339585951940849,4.018000000000001,44.59601776900297,16.144,11.997000000000002,0.0,0.0,24.948,72.09100000000002,0.0,4.236000000000001,39.75999999999999,21.082,0.0,26.43070787637089,0.0,0.0,0.0,0.0,0.0,16.831,26.942,0.0,0.0,0.0,4.564035939611983,0.0,19.32529212362912,14.201581027667988,10.591897233201582,5.918,2.76,9.99,19.18,10.158,91.02,1.5200000000000002,4.25
1921-11-30,0.7010000000000001,0.0,0.0,1.7423999999999995,0.9785,0.5001,0.0,17.2603550295858,0.0,0.0,12.65004226542688,9.832167832167832,0.0,0.0,38.0890909090909,0.0,0.0,0.0,0.0,0.0,0.0,1.771228771228771,0.0,6.720643939393939,0.0,0.0,0.0,0.0,3.045454545454545,0.0,0.968,0.0,1.627639246778989,0.0,0.0,0.0,0.0,8.757604562737644,0.0,27.50941526263628,0.0,0.0,0.0,0.0,3.627838958534237,0.0,1.8040000000000005,4.059,0.0,7.110889110889112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.467652495378928,4.018000000000001,16.226817374136235,0.0,0.382,0.0,0.0,0.0,9.997,0.0,0.4569999999999999,0.0,5.779,0.0,0.5752741774675972,0.0,0.0,0.0,0.0,0.0,1.903,3.0460000000000003,0.0,0.0,0.0,0.5940739364577851,0.0,0.7715387117635587,0.9061264822134388,0.632411067193676,0.33,0.148,0.7100000000000002,1.36,0.548,6.43,0.0999999999999999,0.3
1921-12-31,0.0,0.282,0.0,0.0,0.263,0.0,0.0,7.609467455621301,0.0,0.0,5.574809805579035,7.795204795204797,0.0,0.0,0.0,19.783454545454557,5.472,0.0,0.0,0.0,0.0,0.3256743256743257,0.0,7.3863636363636385,0.0,0.0,0.0,0.0,0.1828063241106719,0.0,0.8315163528245791,0.0,0.0,0.0,0.0,0.0,0.0,5.270912547528516,0.0,14.993062438057487,0.0,0.0,0.0,0.0,2.312506268081001,0.0,1.8040000000000005,4.059,0.0,3.243756243756244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.018000000000001,28.259393879565643,0.0,0.0,0.0,0.0,6.298677171064535,4.038322828935465,0.0,0.478,0.0,1.7399999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.099,0.164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.025,0.25,0.49,0.099,2.45,0.02,0.11
1922-01-31,0.0,0.081,0.0,0.0,0.226,0.0,0.0,4.141166525781912,0.0,0.0,3.016060862214709,2.0369630369630376,0.0,0.0,0.0,4.520727272727269,5.472,0.0,0.0,0.0,0.0,0.2877122877122878,0.0,4.4016666666666655,2.64,0.3132411067193676,0.0,0.0,0.0,0.0,0.0,0.0,0.2408325074331021,0.0,0.0,0.0,0.0,8.037072243346007,0.0,13.314172447968293,0.0,0.0,0.0,0.0,0.0,0.0,0.4636615236258441,4.059,0.0,4.575424575424576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4621072088724585,4.018000000000001,31.29789338598224,0.0,1.257,0.0,18.555,0.0,0.0,0.0,0.845,0.0,8.575999999999999,0.0,6.544366899302094,0.0,0.0,0.0,0.0,0.0,5.924,0.0,0.0,0.0,9.511,0.0,0.0,8.59683794466403,5.687747035573123,4.0098814229249005,0.06,0.019,2.45,4.71,0.09,22.37,0.37,1.0499999999999998
1922-02-28,0.0,0.0,0.0,0.0,0.5450000000000002,0.0,0.0,2.568047337278107,0.0,0.0,1.8799661876584957,1.7952047952047951,0.0,0.0,0.0,0.0,1.9472727272727277,0.0,0.0,0.0,0.0,0.4065934065934066,6.471590909090908,0.0,0.0,0.0,0.0,0.0,0.9476284584980238,0.0,0.1922695738354807,0.0,0.0,0.0,0.0,9.56083650190114,0.0,0.0,0.0,31.76709613478692,0.0,0.0,0.0,0.0,0.0,1.5719083895853396,1.8040000000000005,4.059,0.0,11.193806193806198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1358595194085027,0.0,35.992102665350444,0.0,0.26,0.0,3.743382483330331,15.581617516669672,0.0,0.0,0.8979999999999999,0.0,15.896,0.0,2.253240279162513,0.0,0.0,0.0,0.0,0.0,3.325,0.0,0.0,0.0,5.328000000000001,0.0,0.0,3.892292490118579,2.581027667984189,1.8043478260869568,0.08,0.029,1.5200000000000005,2.91,0.126,13.79,0.22,0.6399999999999999
1922-03-31,0.0,0.355,0.0,0.0,0.9785,0.0,7.604500000000002,9.07776838546069,0.0,0.0,6.65511411665258,6.91908091908092,0.0,0.0,0.0,3.003454545454545,5.472,0.0,0.0,0.0,0.0,15.412587412587415,5.990681818181815,0.0,2.64,5.159918664834592,0.0,0.0,3.17308528773458,0.0,2.112,0.0,3.737355797819624,0.0,0.0,0.0,0.0,33.31844106463878,0.0,78.65906838453918,0.0,0.0,0.0,4.838,0.0,31.883311475409823,0.0,0.0,0.0,5.746196193133645,8.001463467479834,3.113288829110541,50.23489167011613,0.0,0.0,9.064,0.0,28.332676718444844,5.5702807676919255,0.0,81.29417571569597,15.316,0.0,0.0,28.296,0.0,39.8444,63.8916,6.807,14.947247270012726,21.082,77.13875272998727,31.80920158102767,15.847827332232551,0.0,0.0,0.0,0.0,29.204,0.0,0.0,0.0,41.043,22.32,0.0,13.94679841897234,25.22529644268775,18.883399209486164,3.05,1.295,18.07,34.69,4.769,164.61,2.75,7.69
1922-04-30,0.0,5.601000000000004,0.0,1.7423999999999995,0.9785,19.907100000000007,26.136,97.20710059171594,0.0,0.0,64.26,111.45154845154846,7.655999999999999,0.0,154.0683636363636,0.0,5.472,0.0,0.0,33.879999999999995,0.0,29.92,29.04,19.777386363636364,2.64,0.0,0.0,0.0,76.95750988142295,5.896,2.112,10.12,23.232,0.0,1.9632028752012625,0.0,0.0,81.30580853164282,0.0,93.3092170465808,0.0,0.0,0.0,4.838,0.0,66.89470684667313,0.0,4.059,0.0,23.200597348816245,48.24816528854638,0.0,100.45,2.2236000000000007,0.451,9.064,0.0,50.63770794824397,0.0,0.0,45.67324777887463,73.3,0.0,0.0,0.0,0.0,0.0,6.064947427509032,5.340000000000001,0.0,0.0,149.7,34.60643204164072,28.414505146793985,0.0,0.0,0.0,0.0,19.529,0.0,0.0,0.0,29.371,18.241768800534,0.0,9.68016795835928,16.886363636363637,13.336956521739127,5.598,6.527,17.150000000000002,32.92,24.021,156.25,2.61,7.299999999999999
1922-05-31,0.0,9.462000000000002,0.0,1.7423999999999995,0.9785,25.784,26.136,127.56128486897713,0.0,0.0,64.26,171.77022977022978,7.655999999999999,0.0,191.2156363636363,0.0,5.472,0.0,0.0,33.879999999999995,13.495004995005054,29.92,29.04,23.373977272727263,2.64,37.41141501976279,47.61600000000001,34.038000000000004,80.4,5.896,2.112,10.12,23.232,0.0,0.0,0.0,0.0,116.11882129277568,0.0,100.04800000000002,25.575000000000003,0.0,1.0559999999999998,4.838,2.7095072324011724,96.596,0.0,4.059,0.0,171.97829410589412,0.0,0.0,100.45,2.1626000000000003,0.451,9.064,0.0,75.41866913123845,0.0,4.018000000000001,12.538055652173837,171.77299999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.9712210862153,21.082,160.23900000000003,45.75600000000001,64.54200000000002,8.148660019940166,0.0,0.0,0.0,36.825,51.196000000000005,0.0,0.0,0.0,49.30533596837944,0.0,0.0,39.63339920948616,29.747035573122528,5.958,13.71,35.77,68.71000000000001,50.45100000000001,326.09000000000003,5.45,15.24
1922-06-30,6.9350000000000005,3.687,0.0,1.7423999999999995,0.9785,25.784,26.136,127.21591939137788,13.713919999999998,0.0,64.26,76.77605394605398,7.655999999999999,0.0,238.87399999999988,0.0,0.0,0.0,0.0,33.879999999999995,27.24025974025981,29.92,27.1264318181818,43.208,2.64,70.30799999999999,47.61600000000001,34.038000000000004,80.4,5.896,2.112,10.12,23.232,0.0,54.120000000000005,0.0,69.23741444866917,0.0,0.0,105.478,25.575000000000003,0.0,1.0559999999999998,4.838,10.988,96.596,1.8040000000000005,4.059,0.0,213.11270659340656,0.0,0.0,99.9657,0.0,0.451,9.064,0.0,77.35120147874305,0.0,4.018000000000001,0.0,177.155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.97699999999998,21.082,160.23900000000003,44.2866,64.54200000000002,13.13849870388836,0.0,3.2550000000000003,0.0,40.052,1.495,0.0,0.0,0.0,58.38537549407114,0.0,0.0,48.248023715415016,38.63537549407115,6.478,16.482,45.09,86.60999999999999,60.642,411.03,6.869999999999997,19.21
1922-07-31,6.9350000000000005,4.759999999999993,0.0,1.7423999999999995,0.9785,25.784,26.136,150.14877430262047,0.0,0.0,64.26,91.48534465534468,0.0,0.0,245.168,11.318181818181728,5.472,0.0,0.0,33.879999999999995,37.752,29.92,29.04,43.208,2.64,70.30799999999999,47.61600000000001,34.038000000000004,80.4,5.896,2.112,10.12,23.232,0.0,54.120000000000005,0.0,72.3467300380228,0.0,0.0,121.171,25.575000000000003,15.811134946649917,0.0,4.838,10.988,96.596,1.8040000000000005,4.059,0.0,185.98419801124328,19.723140050694752,38.704,100.45,1.6856000000000004,0.451,9.064,6.324,67.60668391866912,0.0,4.018000000000001,0.0,37.65200055547909,11.997000000000002,0.0,6.464,0.0,0.0,0.0,0.0,59.84049104671413,18.805065912260797,160.23900000000003,0.0,64.54200000000002,45.10714393153938,0.0,3.2550000000000003,0.0,42.613,1.727,0.0,0.0,0.0,94.75887878787874,0.0,0.0,0.0,41.063241106719374,6.538,18.508,49.290000000000006,94.68,68.116,459.35120000000006,7.5000000000000036,21.0
1922-08-31,6.9350000000000005,4.171000000000001,0.0,1.7423999999999995,0.9785,25.784,26.136,129.55283178360102,0.0,0.0,64.26,170.59940059940064,0.0,0.0,202.1125454545455,0.0,5.472,0.0,0.0,33.879999999999995,12.859640359640402,29.92,16.988174242424215,43.208,2.64,70.30799999999999,32.42396047430833,34.038000000000004,80.4,5.896,0.704,10.12,23.232,0.0,0.0,34.09724,54.62672438334499,19.91481888661698,0.0,128.71538652130823,25.575000000000003,0.0,0.0,4.838,10.988,81.25024783027968,1.8040000000000005,4.059,0.0,12.13164,0.453740467591328,9.11458435699998,98.721,3.878600000000001,0.451,9.064,6.324,52.54106469500922,0.0,4.018000000000001,0.0,116.18596535972546,11.997000000000002,0.0,1.7440000000000002,0.0,0.0,0.0,0.0,3.657118439173681,4.812481738512672,160.23900000000003,16.754451442687724,64.54200000000002,0.0,0.0,3.2550000000000003,0.0,35.729,1.466,0.0,0.0,0.0,54.39426877470356,0.0,0.0,0.0,35.997035573122524,6.688,14.361999999999998,40.010000000000005,76.84,52.842,364.66,6.1,17.04
