link,i,j,k,cost,amplitude,lower_bound,upper_bound
SR_WHI.1923-02-28_SR_WHI.1923-03-31_6,SR_WHI.1923-02-28,SR_WHI.1923-03-31,6,-1.01024,0.9989,0.0,8.167
SR_WHI.1923-03-31_SR_WHI.1923-04-30_0,SR_WHI.1923-03-31,SR_WHI.1923-04-30,0,-731.93237,0.99734,10.0,27.5
SR_WHI.1923-03-31_SR_WHI.1923-04-30_1,SR_WHI.1923-03-31,SR_WHI.1923-04-30,1,-5.58409,0.99734,0.0,58.61
SR_WHI.1923-03-31_SR_WHI.1923-04-30_2,SR_WHI.1923-03-31,SR_WHI.1923-04-30,2,-4.05351,0.99734,0.0,61.273
SR_WHI.1923-03-31_SR_WHI.1923-04-30_3,SR_WHI.1923-03-31,SR_WHI.1923-04-30,3,-2.52751,0.99734,0.0,34.118
SR_WHI.1923-03-31_SR_WHI.1923-04-30_4,SR_WHI.1923-03-31,SR_WHI.1923-04-30,4,-0.99782,0.99734,0.0,8.167
SR_WHI.1923-03-31_SR_WHI.1923-04-30_5,SR_WHI.1923-03-31,SR_WHI.1923-04-30,5,-0.99782,0.99734,0.0,8.167
SR_WHI.1923-03-31_SR_WHI.1923-04-30_6,SR_WHI.1923-03-31,SR_WHI.1923-04-30,6,-0.99782,0.99734,0.0,8.167
SR_WHI.1923-04-30_SR_WHI.1923-05-31_0,SR_WHI.1923-04-30,SR_WHI.1923-05-31,0,-666.07662,0.9961,10.0,27.5
SR_WHI.1923-04-30_SR_WHI.1923-05-31_1,SR_WHI.1923-04-30,SR_WHI.1923-05-31,1,-5.1186,0.9961,0.0,56.08
SR_WHI.1923-04-30_SR_WHI.1923-05-31_2,SR_WHI.1923-04-30,SR_WHI.1923-05-31,2,-3.75643,0.9961,0.0,61.27
SR_WHI.1923-04-30_SR_WHI.1923-05-31_3,SR_WHI.1923-04-30,SR_WHI.1923-05-31,3,-2.33667,0.9961,0.0,36.65
SR_WHI.1923-04-30_SR_WHI.1923-05-31_4,SR_WHI.1923-04-30,SR_WHI.1923-05-31,4,-0.94504,0.9961,0.0,8.167
SR_WHI.1923-04-30_SR_WHI.1923-05-31_5,SR_WHI.1923-04-30,SR_WHI.1923-05-31,5,-0.94504,0.9961,0.0,8.167
SR_WHI.1923-04-30_SR_WHI.1923-05-31_6,SR_WHI.1923-04-30,SR_WHI.1923-05-31,6,-0.94504,0.9961,0.0,8.167
SR_WHI.1923-05-31_SR_WHI.1923-06-30_0,SR_WHI.1923-05-31,SR_WHI.1923-06-30,0,-669.69807,0.9934,10.0,27.5
SR_WHI.1923-05-31_SR_WHI.1923-06-30_1,SR_WHI.1923-05-31,SR_WHI.1923-06-30,1,-5.10929,0.9934,0.0,58.608
SR_WHI.1923-05-31_SR_WHI.1923-06-30_2,SR_WHI.1923-05-31,SR_WHI.1923-06-30,2,-3.70893,0.9934,0.0,61.274
SR_WHI.1923-05-31_SR_WHI.1923-06-30_3,SR_WHI.1923-05-31,SR_WHI.1923-06-30,3,-2.31255,0.9934,0.0,34.119
SR_WHI.1923-05-31_SR_WHI.1923-06-30_4,SR_WHI.1923-05-31,SR_WHI.1923-06-30,4,-0.92033,0.9934,0.0,8.167
SR_WHI.1923-05-31_SR_WHI.1923-06-30_5,SR_WHI.1923-05-31,SR_WHI.1923-06-30,5,-0.92033,0.9934,0.0,8.167
SR_WHI.1923-05-31_SR_WHI.1923-06-30_6,SR_WHI.1923-05-31,SR_WHI.1923-06-30,6,-0.92033,0.9934,0.0,8.167
SR_WHI.1923-06-30_SR_WHI.1923-07-31_0,SR_WHI.1923-06-30,SR_WHI.1923-07-31,0,-669.10302,0.99267,10.0,27.5
SR_WHI.1923-06-30_SR_WHI.1923-07-31_1,SR_WHI.1923-06-30,SR_WHI.1923-07-31,1,-5.08018,0.99267,0.0,60.085
SR_WHI.1923-06-30_SR_WHI.1923-07-31_2,SR_WHI.1923-06-30,SR_WHI.1923-07-31,2,-3.60395,0.99267,0.0,66.775
SR_WHI.1923-06-30_SR_WHI.1923-07-31_3,SR_WHI.1923-06-30,SR_WHI.1923-07-31,3,-2.07209,0.99267,0.0,27.14
SR_WHI.1923-06-30_SR_WHI.1923-07-31_4,SR_WHI.1923-06-30,SR_WHI.1923-07-31,4,-0.75584,0.99267,0.0,11.833
