link,i,j,k,cost,amplitude,lower_bound,upper_bound
A101.1922-10-31_HU101.1922-10-31_0,A101.1922-10-31,HU101.1922-10-31,0,0.0,1.0,0.0,1000000000000.0
A101.1922-11-30_HU101.1922-11-30_0,A101.1922-11-30,HU101.1922-11-30,0,0.0,1.0,0.0,1000000000000.0
A101.1922-12-31_HU101.1922-12-31_0,A101.1922-12-31,HU101.1922-12-31,0,0.0,1.0,0.0,1000000000000.0
A101.1923-01-31_HU101.1923-01-31_0,A101.1923-01-31,HU101.1923-01-31,0,0.0,1.0,0.0,1000000000000.0
A101.1923-02-28_HU101.1923-02-28_0,A101.1923-02-28,HU101.1923-02-28,0,0.0,1.0,0.0,1000000000000.0
A101.1923-03-31_HU101.1923-03-31_0,A101.1923-03-31,HU101.1923-03-31,0,0.0,1.0,0.0,1000000000000.0
A101.1923-04-30_HU101.1923-04-30_0,A101.1923-04-30,HU101.1923-04-30,0,0.0,1.0,0.0,1000000000000.0
A101.1923-05-31_HU101.1923-05-31_0,A101.1923-05-31,HU101.1923-05-31,0,0.0,1.0,0.0,1000000000000.0
A101.1923-06-30_HU101.1923-06-30_0,A101.1923-06-30,HU101.1923-06-30,0,0.0,1.0,0.0,1000000000000.0
A101.1923-07-31_HU101.1923-07-31_0,A101.1923-07-31,HU101.1923-07-31,0,0.0,1.0,0.0,1000000000000.0
A101.1923-08-31_HU101.1923-08-31_0,A101.1923-08-31,HU101.1923-08-31,0,0.0,1.0,0.0,1000000000000.0
A101.1923-09-30_HU101.1923-09-30_0,A101.1923-09-30,HU101.1923-09-30,0,0.0,1.0,0.0,1000000000000.0
A102.1922-10-31_HU102.1922-10-31_0,A102.1922-10-31,HU102.1922-10-31,0,0.0,1.0,0.0,1000000000000.0
A102.1922-11-30_HU102.1922-11-30_0,A102.1922-11-30,HU102.1922-11-30,0,0.0,1.0,0.0,1000000000000.0
A102.1922-12-31_HU102.1922-12-31_0,A102.1922-12-31,HU102.1922-12-31,0,0.0,1.0,0.0,1000000000000.0
A102.1923-01-31_HU102.1923-01-31_0,A102.1923-01-31,HU102.1923-01-31,0,0.0,1.0,0.0,1000000000000.0
A102.1923-02-28_HU102.1923-02-28_0,A102.1923-02-28,HU102.1923-02-28,0,0.0,1.0,0.0,1000000000000.0
A102.1923-03-31_HU102.1923-03-31_0,A102.1923-03-31,HU102.1923-03-31,0,0.0,1.0,0.0,1000000000000.0
A102.1923-04-30_HU102.1923-04-30_0,A102.1923-04-30,HU102.1923-04-30,0,0.0,1.0,0.0,1000000000000.0
A102.1923-05-31_HU102.1923-05-31_0,A102.1923-05-31,HU102.1923-05-31,0,0.0,1.0,0.0,1000000000000.0
A102.1923-06-30_HU102.1923-06-30_0,A102.1923-06-30,HU102.1923-06-30,0,0.0,1.0,0.0,1000000000000.0
A102.1923-07-31_HU102.1923-07-31_0,A102.1923-07-31,HU102.1923-07-31,0,0.0,1.0,0.0,1000000000000.0
A102.1923-08-31_HU102.1923-08-31_0,A102.1923-08-31,HU102.1923-08-31,0,0.0,1.0,0.0,1000000000000.0
A102.1923-09-30_HU102.1923-09-30_0,A102.1923-09-30,HU102.1923-09-30,0,0.0,1.0,0.0,1000000000000.0
A103A.1922-10-31_HU103A.1922-10-31_0,A103A.1922-10-31,HU103A.1922-10-31,0,0.0,1.183,0.0,1000000000000.0
A103A.1922-11-30_HU103A.1922-11-30_0,A103A.1922-11-30,HU103A.1922-11-30,0,0.0,1.183,0.0,1000000000000.0
A103A.1922-12-31_HU103A.1922-12-31_0,A103A.1922-12-31,HU103A.1922-12-31,0,0.0,1.183,0.0,1000000000000.0
A103A.1923-01-31_HU103A.1923-01-31_0,A103A.1923-01-31,HU103A.1923-01-31,0,0.0,1.183,0.0,1000000000000.0
A103A.1923-02-28_HU103A.1923-02-28_0,A103A.1923-02-28,HU103A.1923-02-28,0,0.0,1.183,0.0,1000000000000.0
A103A.1923-03-31_HU103A.1923-03-31_0,A103A.1923-03-31,HU103A.1923-03-31,0,0.0,1.183,0.0,1000000000000.0
A103A.1923-04-30_HU103A.1923-04-30_0,A103A.1923-04-30,HU103A.1923-04-30,0,0.0,1.183,0.0,1000000000000.0
A103A.1923-05-31_HU103A.1923-05-31_0,A103A.1923-05-31,HU103A.1923-05-31,0,0.0,1.183,0.0,1000000000000.0
A103A.1923-06-30_HU103A.1923-06-30_0,A103A.1923-06-30,HU103A.1923-06-30,0,0.0,1.183,0.0,1000000000000.0
A103A.1923-07-31_HU103A.1923-07-31_0,A103A.1923-07-31,HU103A.1923-07-31,0,0.0,1.183,0.0,1000000000000.0
A103A.1923-08-31_HU103A.1923-08-31_0,A103A.1923-08-31,HU103A.1923-08-31,0,0.0,1.183,0.0,1000000000000.0
A103A.1923-09-30_HU103A.1923-09-30_0,A103A.1923-09-30,HU103A.1923-09-30,0,0.0,1.183,0.0,1000000000000.0
A103B.1922-10-31_HU103B.1922-10-31_0,A103B.1922-10-31,HU103B.1922-10-31,0,0.0,1.183,0.0,1000000000000.0
A103B.1922-11-30_HU103B.1922-11-30_0,A103B.1922-11-30,HU103B.1922-11-30,0,0.0,1.183,0.0,1000000000000.0
A103B.1922-12-31_HU103B.1922-12-31_0,A103B.1922-12-31,HU103B.1922-12-31,0,0.0,1.183,0.0,1000000000000.0
A103B.1923-01-31_HU103B.1923-01-31_0,A103B.1923-01-31,HU103B.1923-01-31,0,0.0,1.183,0.0,1000000000000.0
A103B.1923-02-28_HU103B.1923-02-28_0,A103B.1923-02-28,HU103B.1923-02-28,0,0.0,1.183,0.0,1000000000000.0
A103B.1923-03-31_HU103B.1923-03-31_0,A103B.1923-03-31,HU103B.1923-03-31,0,0.0,1.183,0.0,1000000000000.0
A103B.1923-04-30_HU103B.1923-04-30_0,A103B.1923-04-30,HU103B.1923-04-30,0,0.0,1.183,0.0,1000000000000.0
A103B.1923-05-31_HU103B.1923-05-31_0,A103B.1923-05-31,HU103B.1923-05-31,0,0.0,1.183,0.0,1000000000000.0
A103B.1923-06-30_HU103B.1923-06-30_0,A103B.1923-06-30,HU103B.1923-06-30,0,0.0,1.183,0.0,1000000000000.0
A103B.1923-07-31_HU103B.1923-07-31_0,A103B.1923-07-31,HU103B.1923-07-31,0,0.0,1.183,0.0,1000000000000.0
A103B.1923-08-31_HU103B.1923-08-31_0,A103B.1923-08-31,HU103B.1923-08-31,0,0.0,1.183,0.0,1000000000000.0
A103B.1923-09-30_HU103B.1923-09-30_0,A103B.1923-09-30,HU103B.1923-09-30,0,0.0,1.183,0.0,1000000000000.0
A104.1922-10-31_HU104.1922-10-31_0,A104.1922-10-31,HU104.1922-10-31,0,0.0,1.001,0.0,1000000000000.0
A104.1922-11-30_HU104.1922-11-30_0,A104.1922-11-30,HU104.1922-11-30,0,0.0,1.001,0.0,1000000000000.0
A104.1922-12-31_HU104.1922-12-31_0,A104.1922-12-31,HU104.1922-12-31,0,0.0,1.001,0.0,1000000000000.0
A104.1923-01-31_HU104.1923-01-31_0,A104.1923-01-31,HU104.1923-01-31,0,0.0,1.001,0.0,1000000000000.0
A104.1923-02-28_HU104.1923-02-28_0,A104.1923-02-28,HU104.1923-02-28,0,0.0,1.001,0.0,1000000000000.0
A104.1923-03-31_HU104.1923-03-31_0,A104.1923-03-31,HU104.1923-03-31,0,0.0,1.001,0.0,1000000000000.0
A104.1923-04-30_HU104.1923-04-30_0,A104.1923-04-30,HU104.1923-04-30,0,0.0,1.001,0.0,1000000000000.0
A104.1923-05-31_HU104.1923-05-31_0,A104.1923-05-31,HU104.1923-05-31,0,0.0,1.001,0.0,1000000000000.0
A104.1923-06-30_HU104.1923-06-30_0,A104.1923-06-30,HU104.1923-06-30,0,0.0,1.001,0.0,1000000000000.0
A104.1923-07-31_HU104.1923-07-31_0,A104.1923-07-31,HU104.1923-07-31,0,0.0,1.001,0.0,1000000000000.0
A104.1923-08-31_HU104.1923-08-31_0,A104.1923-08-31,HU104.1923-08-31,0,0.0,1.001,0.0,1000000000000.0
A104.1923-09-30_HU104.1923-09-30_0,A104.1923-09-30,HU104.1923-09-30,0,0.0,1.001,0.0,1000000000000.0
A202.1922-10-31_HU202.1922-10-31_0,A202.1922-10-31,HU202.1922-10-31,0,0.0,1.1,0.0,1000000000000.0
A202.1922-11-30_HU202.1922-11-30_0,A202.1922-11-30,HU202.1922-11-30,0,0.0,1.1,0.0,1000000000000.0
A202.1922-12-31_HU202.1922-12-31_0,A202.1922-12-31,HU202.1922-12-31,0,0.0,1.1,0.0,1000000000000.0
A202.1923-01-31_HU202.1923-01-31_0,A202.1923-01-31,HU202.1923-01-31,0,0.0,1.1,0.0,1000000000000.0
A202.1923-02-28_HU202.1923-02-28_0,A202.1923-02-28,HU202.1923-02-28,0,0.0,1.1,0.0,1000000000000.0
A202.1923-03-31_HU202.1923-03-31_0,A202.1923-03-31,HU202.1923-03-31,0,0.0,1.1,0.0,1000000000000.0
A202.1923-04-30_HU202.1923-04-30_0,A202.1923-04-30,HU202.1923-04-30,0,0.0,1.1,0.0,1000000000000.0
A202.1923-05-31_HU202.1923-05-31_0,A202.1923-05-31,HU202.1923-05-31,0,0.0,1.1,0.0,1000000000000.0
A202.1923-06-30_HU202.1923-06-30_0,A202.1923-06-30,HU202.1923-06-30,0,0.0,1.1,0.0,1000000000000.0
A202.1923-07-31_HU202.1923-07-31_0,A202.1923-07-31,HU202.1923-07-31,0,0.0,1.1,0.0,1000000000000.0
A202.1923-08-31_HU202.1923-08-31_0,A202.1923-08-31,HU202.1923-08-31,0,0.0,1.1,0.0,1000000000000.0
A202.1923-09-30_HU202.1923-09-30_0,A202.1923-09-30,HU202.1923-09-30,0,0.0,1.1,0.0,1000000000000.0
A203.1922-10-31_HU203.1922-10-31_0,A203.1922-10-31,HU203.1922-10-31,0,0.0,1.001,0.0,1000000000000.0
A203.1922-11-30_HU203.1922-11-30_0,A203.1922-11-30,HU203.1922-11-30,0,0.0,1.001,0.0,1000000000000.0
A203.1922-12-31_HU203.1922-12-31_0,A203.1922-12-31,HU203.1922-12-31,0,0.0,1.001,0.0,1000000000000.0
A203.1923-01-31_HU203.1923-01-31_0,A203.1923-01-31,HU203.1923-01-31,0,0.0,1.001,0.0,1000000000000.0
A203.1923-02-28_HU203.1923-02-28_0,A203.1923-02-28,HU203.1923-02-28,0,0.0,1.001,0.0,1000000000000.0
A203.1923-03-31_HU203.1923-03-31_0,A203.1923-03-31,HU203.1923-03-31,0,0.0,1.001,0.0,1000000000000.0
A203.1923-04-30_HU203.1923-04-30_0,A203.1923-04-30,HU203.1923-04-30,0,0.0,1.001,0.0,1000000000000.0
A203.1923-05-31_HU203.1923-05-31_0,A203.1923-05-31,HU203.1923-05-31,0,0.0,1.001,0.0,1000000000000.0
A203.1923-06-30_HU203.1923-06-30_0,A203.1923-06-30,HU203.1923-06-30,0,0.0,1.001,0.0,1000000000000.0
A203.1923-07-31_HU203.1923-07-31_0,A203.1923-07-31,HU203.1923-07-31,0,0.0,1.001,0.0,1000000000000.0
A203.1923-08-31_HU203.1923-08-31_0,A203.1923-08-31,HU203.1923-08-31,0,0.0,1.001,0.0,1000000000000.0
A203.1923-09-30_HU203.1923-09-30_0,A203.1923-09-30,HU203.1923-09-30,0,0.0,1.001,0.0,1000000000000.0
A204.1922-10-31_HU204.1922-10-31_0,A204.1922-10-31,HU204.1922-10-31,0,0.0,1.056,0.0,1000000000000.0
A204.1922-11-30_HU204.1922-11-30_0,A204.1922-11-30,HU204.1922-11-30,0,0.0,1.056,0.0,1000000000000.0
A204.1922-12-31_HU204.1922-12-31_0,A204.1922-12-31,HU204.1922-12-31,0,0.0,1.056,0.0,1000000000000.0
A204.1923-01-31_HU204.1923-01-31_0,A204.1923-01-31,HU204.1923-01-31,0,0.0,1.056,0.0,1000000000000.0
A204.1923-02-28_HU204.1923-02-28_0,A204.1923-02-28,HU204.1923-02-28,0,0.0,1.056,0.0,1000000000000.0
A204.1923-03-31_HU204.1923-03-31_0,A204.1923-03-31,HU204.1923-03-31,0,0.0,1.056,0.0,1000000000000.0
A204.1923-04-30_HU204.1923-04-30_0,A204.1923-04-30,HU204.1923-04-30,0,0.0,1.056,0.0,1000000000000.0
A204.1923-05-31_HU204.1923-05-31_0,A204.1923-05-31,HU204.1923-05-31,0,0.0,1.056,0.0,1000000000000.0
A204.1923-06-30_HU204.1923-06-30_0,A204.1923-06-30,HU204.1923-06-30,0,0.0,1.056,0.0,1000000000000.0
A204.1923-07-31_HU204.1923-07-31_0,A204.1923-07-31,HU204.1923-07-31,0,0.0,1.056,0.0,1000000000000.0
A204.1923-08-31_HU204.1923-08-31_0,A204.1923-08-31,HU204.1923-08-31,0,0.0,1.056,0.0,1000000000000.0
A204.1923-09-30_HU204.1923-09-30_0,A204.1923-09-30,HU204.1923-09-30,0,0.0,1.056,0.0,1000000000000.0
A206.1922-10-31_HU206.1922-10-31_0,A206.1922-10-31,HU206.1922-10-31,0,0.0,1.012,0.0,1000000000000.0
A206.1922-11-30_HU206.1922-11-30_0,A206.1922-11-30,HU206.1922-11-30,0,0.0,1.012,0.0,1000000000000.0
A206.1922-12-31_HU206.1922-12-31_0,A206.1922-12-31,HU206.1922-12-31,0,0.0,1.012,0.0,1000000000000.0
A206.1923-01-31_HU206.1923-01-31_0,A206.1923-01-31,HU206.1923-01-31,0,0.0,1.012,0.0,1000000000000.0
A206.1923-02-28_HU206.1923-02-28_0,A206.1923-02-28,HU206.1923-02-28,0,0.0,1.012,0.0,1000000000000.0
A206.1923-03-31_HU206.1923-03-31_0,A206.1923-03-31,HU206.1923-03-31,0,0.0,1.012,0.0,1000000000000.0
A206.1923-04-30_HU206.1923-04-30_0,A206.1923-04-30,HU206.1923-04-30,0,0.0,1.012,0.0,1000000000000.0
A206.1923-05-31_HU206.1923-05-31_0,A206.1923-05-31,HU206.1923-05-31,0,0.0,1.012,0.0,1000000000000.0
A206.1923-06-30_HU206.1923-06-30_0,A206.1923-06-30,HU206.1923-06-30,0,0.0,1.012,0.0,1000000000000.0
A206.1923-07-31_HU206.1923-07-31_0,A206.1923-07-31,HU206.1923-07-31,0,0.0,1.012,0.0,1000000000000.0
A206.1923-08-31_HU206.1923-08-31_0,A206.1923-08-31,HU206.1923-08-31,0,0.0,1.012,0.0,1000000000000.0
A206.1923-09-30_HU206.1923-09-30_0,A206.1923-09-30,HU206.1923-09-30,0,0.0,1.012,0.0,1000000000000.0
A207.1922-10-31_HU207.1922-10-31_0,A207.1922-10-31,HU207.1922-10-31,0,0.0,1.009,0.0,1000000000000.0
A207.1922-11-30_HU207.1922-11-30_0,A207.1922-11-30,HU207.1922-11-30,0,0.0,1.009,0.0,1000000000000.0
A207.1922-12-31_HU207.1922-12-31_0,A207.1922-12-31,HU207.1922-12-31,0,0.0,1.009,0.0,1000000000000.0
A207.1923-01-31_HU207.1923-01-31_0,A207.1923-01-31,HU207.1923-01-31,0,0.0,1.009,0.0,1000000000000.0
A207.1923-02-28_HU207.1923-02-28_0,A207.1923-02-28,HU207.1923-02-28,0,0.0,1.009,0.0,1000000000000.0
A207.1923-03-31_HU207.1923-03-31_0,A207.1923-03-31,HU207.1923-03-31,0,0.0,1.009,0.0,1000000000000.0
A207.1923-04-30_HU207.1923-04-30_0,A207.1923-04-30,HU207.1923-04-30,0,0.0,1.009,0.0,1000000000000.0
A207.1923-05-31_HU207.1923-05-31_0,A207.1923-05-31,HU207.1923-05-31,0,0.0,1.009,0.0,1000000000000.0
A207.1923-06-30_HU207.1923-06-30_0,A207.1923-06-30,HU207.1923-06-30,0,0.0,1.009,0.0,1000000000000.0
A207.1923-07-31_HU207.1923-07-31_0,A207.1923-07-31,HU207.1923-07-31,0,0.0,1.009,0.0,1000000000000.0
A207.1923-08-31_HU207.1923-08-31_0,A207.1923-08-31,HU207.1923-08-31,0,0.0,1.009,0.0,1000000000000.0
A207.1923-09-30_HU207.1923-09-30_0,A207.1923-09-30,HU207.1923-09-30,0,0.0,1.009,0.0,1000000000000.0
A302.1922-10-31_HU302.1922-10-31_0,A302.1922-10-31,HU302.1922-10-31,0,0.0,1.052,0.0,1000000000000.0
A302.1922-11-30_HU302.1922-11-30_0,A302.1922-11-30,HU302.1922-11-30,0,0.0,1.052,0.0,1000000000000.0
A302.1922-12-31_HU302.1922-12-31_0,A302.1922-12-31,HU302.1922-12-31,0,0.0,1.052,0.0,1000000000000.0
A302.1923-01-31_HU302.1923-01-31_0,A302.1923-01-31,HU302.1923-01-31,0,0.0,1.052,0.0,1000000000000.0
A302.1923-02-28_HU302.1923-02-28_0,A302.1923-02-28,HU302.1923-02-28,0,0.0,1.052,0.0,1000000000000.0
A302.1923-03-31_HU302.1923-03-31_0,A302.1923-03-31,HU302.1923-03-31,0,0.0,1.052,0.0,1000000000000.0
A302.1923-04-30_HU302.1923-04-30_0,A302.1923-04-30,HU302.1923-04-30,0,0.0,1.052,0.0,1000000000000.0
A302.1923-05-31_HU302.1923-05-31_0,A302.1923-05-31,HU302.1923-05-31,0,0.0,1.052,0.0,1000000000000.0
A302.1923-06-30_HU302.1923-06-30_0,A302.1923-06-30,HU302.1923-06-30,0,0.0,1.052,0.0,1000000000000.0
A302.1923-07-31_HU302.1923-07-31_0,A302.1923-07-31,HU302.1923-07-31,0,0.0,1.052,0.0,1000000000000.0
A302.1923-08-31_HU302.1923-08-31_0,A302.1923-08-31,HU302.1923-08-31,0,0.0,1.052,0.0,1000000000000.0
A302.1923-09-30_HU302.1923-09-30_0,A302.1923-09-30,HU302.1923-09-30,0,0.0,1.052,0.0,1000000000000.0
A303.1922-10-31_HU303.1922-10-31_0,A303.1922-10-31,HU303.1922-10-31,0,0.0,1.009,0.0,1000000000000.0
A303.1922-11-30_HU303.1922-11-30_0,A303.1922-11-30,HU303.1922-11-30,0,0.0,1.009,0.0,1000000000000.0
A303.1922-12-31_HU303.1922-12-31_0,A303.1922-12-31,HU303.1922-12-31,0,0.0,1.009,0.0,1000000000000.0
A303.1923-01-31_HU303.1923-01-31_0,A303.1923-01-31,HU303.1923-01-31,0,0.0,1.009,0.0,1000000000000.0
A303.1923-02-28_HU303.1923-02-28_0,A303.1923-02-28,HU303.1923-02-28,0,0.0,1.009,0.0,1000000000000.0
A303.1923-03-31_HU303.1923-03-31_0,A303.1923-03-31,HU303.1923-03-31,0,0.0,1.009,0.0,1000000000000.0
A303.1923-04-30_HU303.1923-04-30_0,A303.1923-04-30,HU303.1923-04-30,0,0.0,1.009,0.0,1000000000000.0
A303.1923-05-31_HU303.1923-05-31_0,A303.1923-05-31,HU303.1923-05-31,0,0.0,1.009,0.0,1000000000000.0
A303.1923-06-30_HU303.1923-06-30_0,A303.1923-06-30,HU303.1923-06-30,0,0.0,1.009,0.0,1000000000000.0
A303.1923-07-31_HU303.1923-07-31_0,A303.1923-07-31,HU303.1923-07-31,0,0.0,1.009,0.0,1000000000000.0
A303.1923-08-31_HU303.1923-08-31_0,A303.1923-08-31,HU303.1923-08-31,0,0.0,1.009,0.0,1000000000000.0
A303.1923-09-30_HU303.1923-09-30_0,A303.1923-09-30,HU303.1923-09-30,0,0.0,1.009,0.0,1000000000000.0
A305.1922-10-31_HU305.1922-10-31_0,A305.1922-10-31,HU305.1922-10-31,0,0.0,1.037,0.0,1000000000000.0
A305.1922-11-30_HU305.1922-11-30_0,A305.1922-11-30,HU305.1922-11-30,0,0.0,1.037,0.0,1000000000000.0
A305.1922-12-31_HU305.1922-12-31_0,A305.1922-12-31,HU305.1922-12-31,0,0.0,1.037,0.0,1000000000000.0
A305.1923-01-31_HU305.1923-01-31_0,A305.1923-01-31,HU305.1923-01-31,0,0.0,1.037,0.0,1000000000000.0
A305.1923-02-28_HU305.1923-02-28_0,A305.1923-02-28,HU305.1923-02-28,0,0.0,1.037,0.0,1000000000000.0
A305.1923-03-31_HU305.1923-03-31_0,A305.1923-03-31,HU305.1923-03-31,0,0.0,1.037,0.0,1000000000000.0
A305.1923-04-30_HU305.1923-04-30_0,A305.1923-04-30,HU305.1923-04-30,0,0.0,1.037,0.0,1000000000000.0
A305.1923-05-31_HU305.1923-05-31_0,A305.1923-05-31,HU305.1923-05-31,0,0.0,1.037,0.0,1000000000000.0
A305.1923-06-30_HU305.1923-06-30_0,A305.1923-06-30,HU305.1923-06-30,0,0.0,1.037,0.0,1000000000000.0
A305.1923-07-31_HU305.1923-07-31_0,A305.1923-07-31,HU305.1923-07-31,0,0.0,1.037,0.0,1000000000000.0
A305.1923-08-31_HU305.1923-08-31_0,A305.1923-08-31,HU305.1923-08-31,0,0.0,1.037,0.0,1000000000000.0
A305.1923-09-30_HU305.1923-09-30_0,A305.1923-09-30,HU305.1923-09-30,0,0.0,1.037,0.0,1000000000000.0
A306.1922-10-31_HU306.1922-10-31_0,A306.1922-10-31,HU306.1922-10-31,0,0.0,1.001,0.0,1000000000000.0
A306.1922-11-30_HU306.1922-11-30_0,A306.1922-11-30,HU306.1922-11-30,0,0.0,1.001,0.0,1000000000000.0
A306.1922-12-31_HU306.1922-12-31_0,A306.1922-12-31,HU306.1922-12-31,0,0.0,1.001,0.0,1000000000000.0
A306.1923-01-31_HU306.1923-01-31_0,A306.1923-01-31,HU306.1923-01-31,0,0.0,1.001,0.0,1000000000000.0
A306.1923-02-28_HU306.1923-02-28_0,A306.1923-02-28,HU306.1923-02-28,0,0.0,1.001,0.0,1000000000000.0
A306.1923-03-31_HU306.1923-03-31_0,A306.1923-03-31,HU306.1923-03-31,0,0.0,1.001,0.0,1000000000000.0
A306.1923-04-30_HU306.1923-04-30_0,A306.1923-04-30,HU306.1923-04-30,0,0.0,1.001,0.0,1000000000000.0
A306.1923-05-31_HU306.1923-05-31_0,A306.1923-05-31,HU306.1923-05-31,0,0.0,1.001,0.0,1000000000000.0
A306.1923-06-30_HU306.1923-06-30_0,A306.1923-06-30,HU306.1923-06-30,0,0.0,1.001,0.0,1000000000000.0
A306.1923-07-31_HU306.1923-07-31_0,A306.1923-07-31,HU306.1923-07-31,0,0.0,1.001,0.0,1000000000000.0
A306.1923-08-31_HU306.1923-08-31_0,A306.1923-08-31,HU306.1923-08-31,0,0.0,1.001,0.0,1000000000000.0
A306.1923-09-30_HU306.1923-09-30_0,A306.1923-09-30,HU306.1923-09-30,0,0.0,1.001,0.0,1000000000000.0
A401.1922-10-31_HU401.1922-10-31_0,A401.1922-10-31,HU401.1922-10-31,0,0.0,1.082,0.0,1000000000000.0
A401.1922-11-30_HU401.1922-11-30_0,A401.1922-11-30,HU401.1922-11-30,0,0.0,1.082,0.0,1000000000000.0
A401.1922-12-31_HU401.1922-12-31_0,A401.1922-12-31,HU401.1922-12-31,0,0.0,1.082,0.0,1000000000000.0
A401.1923-01-31_HU401.1923-01-31_0,A401.1923-01-31,HU401.1923-01-31,0,0.0,1.082,0.0,1000000000000.0
A401.1923-02-28_HU401.1923-02-28_0,A401.1923-02-28,HU401.1923-02-28,0,0.0,1.082,0.0,1000000000000.0
A401.1923-03-31_HU401.1923-03-31_0,A401.1923-03-31,HU401.1923-03-31,0,0.0,1.082,0.0,1000000000000.0
A401.1923-04-30_HU401.1923-04-30_0,A401.1923-04-30,HU401.1923-04-30,0,0.0,1.082,0.0,1000000000000.0
A401.1923-05-31_HU401.1923-05-31_0,A401.1923-05-31,HU401.1923-05-31,0,0.0,1.082,0.0,1000000000000.0
A401.1923-06-30_HU401.1923-06-30_0,A401.1923-06-30,HU401.1923-06-30,0,0.0,1.082,0.0,1000000000000.0
A401.1923-07-31_HU401.1923-07-31_0,A401.1923-07-31,HU401.1923-07-31,0,0.0,1.082,0.0,1000000000000.0
A401.1923-08-31_HU401.1923-08-31_0,A401.1923-08-31,HU401.1923-08-31,0,0.0,1.082,0.0,1000000000000.0
A401.1923-09-30_HU401.1923-09-30_0,A401.1923-09-30,HU401.1923-09-30,0,0.0,1.082,0.0,1000000000000.0
A402A.1922-10-31_HU402A.1922-10-31_0,A402A.1922-10-31,HU402A.1922-10-31,0,0.0,1.013,0.0,1000000000000.0
A402A.1922-11-30_HU402A.1922-11-30_0,A402A.1922-11-30,HU402A.1922-11-30,0,0.0,1.013,0.0,1000000000000.0
A402A.1922-12-31_HU402A.1922-12-31_0,A402A.1922-12-31,HU402A.1922-12-31,0,0.0,1.013,0.0,1000000000000.0
A402A.1923-01-31_HU402A.1923-01-31_0,A402A.1923-01-31,HU402A.1923-01-31,0,0.0,1.013,0.0,1000000000000.0
A402A.1923-02-28_HU402A.1923-02-28_0,A402A.1923-02-28,HU402A.1923-02-28,0,0.0,1.013,0.0,1000000000000.0
A402A.1923-03-31_HU402A.1923-03-31_0,A402A.1923-03-31,HU402A.1923-03-31,0,0.0,1.013,0.0,1000000000000.0
A402A.1923-04-30_HU402A.1923-04-30_0,A402A.1923-04-30,HU402A.1923-04-30,0,0.0,1.013,0.0,1000000000000.0
A402A.1923-05-31_HU402A.1923-05-31_0,A402A.1923-05-31,HU402A.1923-05-31,0,0.0,1.013,0.0,1000000000000.0
A402A.1923-06-30_HU402A.1923-06-30_0,A402A.1923-06-30,HU402A.1923-06-30,0,0.0,1.013,0.0,1000000000000.0
A402A.1923-07-31_HU402A.1923-07-31_0,A402A.1923-07-31,HU402A.1923-07-31,0,0.0,1.013,0.0,1000000000000.0
A402A.1923-08-31_HU402A.1923-08-31_0,A402A.1923-08-31,HU402A.1923-08-31,0,0.0,1.013,0.0,1000000000000.0
A402A.1923-09-30_HU402A.1923-09-30_0,A402A.1923-09-30,HU402A.1923-09-30,0,0.0,1.013,0.0,1000000000000.0
A402B.1922-10-31_HU402B.1922-10-31_0,A402B.1922-10-31,HU402B.1922-10-31,0,0.0,1.013,0.0,1000000000000.0
A402B.1922-11-30_HU402B.1922-11-30_0,A402B.1922-11-30,HU402B.1922-11-30,0,0.0,1.013,0.0,1000000000000.0
A402B.1922-12-31_HU402B.1922-12-31_0,A402B.1922-12-31,HU402B.1922-12-31,0,0.0,1.013,0.0,1000000000000.0
A402B.1923-01-31_HU402B.1923-01-31_0,A402B.1923-01-31,HU402B.1923-01-31,0,0.0,1.013,0.0,1000000000000.0
A402B.1923-02-28_HU402B.1923-02-28_0,A402B.1923-02-28,HU402B.1923-02-28,0,0.0,1.013,0.0,1000000000000.0
A402B.1923-03-31_HU402B.1923-03-31_0,A402B.1923-03-31,HU402B.1923-03-31,0,0.0,1.013,0.0,1000000000000.0
A402B.1923-04-30_HU402B.1923-04-30_0,A402B.1923-04-30,HU402B.1923-04-30,0,0.0,1.013,0.0,1000000000000.0
A402B.1923-05-31_HU402B.1923-05-31_0,A402B.1923-05-31,HU402B.1923-05-31,0,0.0,1.013,0.0,1000000000000.0
A402B.1923-06-30_HU402B.1923-06-30_0,A402B.1923-06-30,HU402B.1923-06-30,0,0.0,1.013,0.0,1000000000000.0
A402B.1923-07-31_HU402B.1923-07-31_0,A402B.1923-07-31,HU402B.1923-07-31,0,0.0,1.013,0.0,1000000000000.0
A402B.1923-08-31_HU402B.1923-08-31_0,A402B.1923-08-31,HU402B.1923-08-31,0,0.0,1.013,0.0,1000000000000.0
A402B.1923-09-30_HU402B.1923-09-30_0,A402B.1923-09-30,HU402B.1923-09-30,0,0.0,1.013,0.0,1000000000000.0
A403.1922-10-31_HU403.1922-10-31_0,A403.1922-10-31,HU403.1922-10-31,0,0.0,1.0,0.0,1000000000000.0
A403.1922-11-30_HU403.1922-11-30_0,A403.1922-11-30,HU403.1922-11-30,0,0.0,1.0,0.0,1000000000000.0
A403.1922-12-31_HU403.1922-12-31_0,A403.1922-12-31,HU403.1922-12-31,0,0.0,1.0,0.0,1000000000000.0
A403.1923-01-31_HU403.1923-01-31_0,A403.1923-01-31,HU403.1923-01-31,0,0.0,1.0,0.0,1000000000000.0
