date,SR_BER,SR_BLB,SR_BUC,SR_BUL,SR_CAS,SR_CFW,SR_CLE,SR_CLK_INV,SR_CMN,SR_CRW,SR_DLV,SR_DMV,SR_DNP,SR_EBMUD,SR_ENG,SR_FOL,SR_GNT,SR_HID,SR_HTH,SR_ISB,SR_LA,SR_LL_ENR,SR_LVQ,SR_MCR,SR_MHW,SR_MIL,SR_NHG,SR_NML,SR_ORO,SR_PAR,SR_PNF,SR_PRR,SR_PYM,SR_RLL_CMB,SR_SCAGG,SR_SCC,SR_SFAGG,SR_SHA,SR_SKN,SR_SLW,SR_SNL,SR_TAB,SR_TRM,SR_TUL,SR_WHI
1921-10-31,1380.734679931702,10.0,29.216838625175075,552.5428009344812,254.37920668146603,1.0,1798.7386410404652,605.79,76.42256634641625,63.014084540346616,39.86510340000001,615.1135439899999,1429.3626815,121.6796633,66.0,465.5150799000001,11.5,4.0,302.696328,220.6586656431014,10.392942424934224,164.10642876,99.686,478.05043914487806,78.5,173.4260812174602,105.24877391018236,1683.6595325982034,2613.4372436930284,187.44318,528.67149879,121.62058,163.84201118999997,32.89164284535586,74.55506009999999,21.7982586,123.1453916,2954.544731132647,33.8,40.56970499999999,611.8579261629645,9.7,0.57,11.0,181.5
1921-11-30,1374.448926302314,10.0,29.16307964210475,537.8762137791932,170.89758896154214,1.0,1713.8533237157362,518.807432771596,63.27456793670447,53.42697046694884,39.81436663174201,597.5535028799611,1466.12760203302,128.02835493905798,64.0,377.2791329371651,11.5,4.285595,275.64119759928,185.13,10.3337026531121,113.4564088427176,88.28340179276762,468.0165748169503,78.5,199.38643524522664,101.35123745662356,1678.0395148314076,2686.736323139469,180.508657456,509.304732490726,121.0416660392,163.09455805948136,27.815942334266406,70.742157228114,11.09,119.095358350512,3021.6009945322694,33.8,67.13867049300065,747.7876940060758,9.7,0.57,11.0,181.501
1921-12-31,1403.9629803397982,22.9909071,40.83815316352307,546.7997155959112,288.1402985250506,11.45093846,1685.8820434509728,485.11,50.12762545427054,18.3,39.94770971926793,566.6535028799611,1511.2688818460165,130.89290211210118,62.0,372.71890561645085,11.5,13.16621217535,251.53759182084045,183.83,10.27480054798936,101.47306752325,77.45836727749476,493.55273448379353,132.81368911761768,264.6233615822108,104.22786088679236,1688.3719400342356,2810.833860423179,188.0,550.0246605016791,121.7945452019638,4.8,38.3845134894425,70.8207385432778,9.75,116.6787989703223,3204.9012786538124,33.8,48.79678641430447,922.646757806864,9.7,0.57,11.0,181.499
1922-01-31,1408.366639353167,36.16544118623799,50.81578437613112,512.9845283786324,278.7707622444606,16.009856908000206,1697.7303969631516,485.11,4.0,18.3,39.995768278054186,538.6594380936584,1537.5845388373702,129.53752859118322,62.0,368.077669547038,11.5,21.049359205609715,235.73010453064768,183.36,10.2,116.9477993410001,72.0,521.8783453246897,182.0,342.1601333258774,115.07203463530068,1706.480821297248,2953.9581076308423,12.2,612.9161981171085,122.41813327339786,5.312272621856131,45.55982629891183,92.79226522332024,9.02,114.17384530789772,3315.028266579963,44.0,32.541642408883654,1230.5347800763989,9.7,9.17,11.0,181.5
1922-02-28,1529.955891316267,57.82,92.03564364372389,395.9336613590955,269.0063082673993,103.0,1725.3587764716983,549.4,4.0,18.3,40.0,510.7339001217537,1689.999,135.31881842409766,62.0,575.001,11.5,30.0,225.14945813420115,216.59104080000003,10.2,128.54230814554046,78.16988092106538,676.0,148.2078511333349,435.0,158.10832190269923,1795.7645140783864,2813.0,49.883624237130704,694.2480515321064,122.64215845728818,4.8,65.56,127.97242251603998,13.02,108.39015340125556,3669.4537482853466,33.8,75.0,1537.9152863555887,11.8,8.85,17.279463240000005,190.42251759
1922-03-31,1557.3626097258134,77.19,117.0,281.1994161079757,323.7,103.0,1780.5190289114626,566.81,4.0,18.3,39.98378853,492.91877573039545,1689.999,142.45982720560517,64.0,680.0,11.5,46.0,223.31500490562436,267.764441653952,10.2,135.32244641878833,78.08748085924957,652.5277277819507,164.81481904501948,282.29780135063083,178.0,1852.2542608354224,2922.001,59.51228415131676,734.0637940446206,122.48517649446286,23.531905597783663,65.56,149.1160799834734,22.29,105.22417608055886,4063.954475562233,44.0,59.81096213557882,1557.717567694956,9.7,10.56,11.0,204.2698606930125
1922-04-30,1538.833910778363,114.65946076363636,95.98467277041097,301.328,309.7781879256108,103.0,1899.999,536.3704099199999,4.0,18.3,39.853916595234,462.1946023095954,1712.999,146.25478344751733,65.0,715.6741698599999,11.5,4.0,254.1240041465489,349.794374961621,10.2,141.35952836881572,87.00525279078917,590.9767234243853,78.5,163.65665387637634,204.282756,1901.5948772935917,3400.1877099582607,122.79828345562498,805.387237095881,121.92419438611822,115.73421618263647,65.56,157.25674017801504,14.608965140556869,103.23770779235257,4552.0,39.78574076649352,74.84725438807406,1519.2386914562926,9.7,45.7663017,11.0,206.001
1922-05-31,1501.2301946330429,118.01798081042728,74.83195169883396,716.324134720712,220.7577567095076,103.0,1983.0217124,471.3172116482239,341.0,18.3,39.61205713222355,429.56511095433393,2002.0,147.72996151411314,66.0,975.0,11.5,4.0,316.36930071412297,473.494770770161,10.2,150.91277816282457,96.22583402965842,813.4366766287685,78.5,215.15635196249684,210.09662610092,2283.7398718761287,3538.0,67.86691182368149,853.74,90.53260343128896,171.2,65.56,148.0427436497447,12.230239305498328,97.19658977741592,4552.0,33.8,75.0,1474.866196102473,11.8,116.23,11.0,206.002
1922-06-30,1431.2513749541224,83.55420090549137,75.79762803694213,890.0,91.19793711363928,103.0,2040.354709741956,398.2528001650463,431.0,18.3,39.372978345124814,397.7147452128768,2030.0,146.28,66.0,975.0,11.5,4.0,287.74569883173257,365.4701689796132,10.2,301.3,104.8,1024.0,78.5,521.0,206.77766352132,2175.858362712498,3538.0,210.0,935.29,60.17561131423104,171.2,65.56,125.2870840427826,0.556883784082,89.32490141442493,4431.885972596139,33.8,65.70912302999997,1428.5646047382568,11.8,135.64,11.0,193.64518370791663
1922-07-31,1333.0510254948265,58.56143237639684,75.26008796143181,712.5803275499998,201.77743166403283,1.0,1999.9371945588064,318.5773507903178,429.1634355941247,22.476993000000007,39.031798065231854,364.540493792557,1801.7844111542092,135.68111467790564,67.0,728.2816715999999,11.5,4.0,360.0,122.61084366571228,10.2,301.3,104.00351999999998,913.83132038,78.5,503.3360322200001,199.7238289347236,2230.781013436503,3520.785446946855,210.0,760.0250378208852,29.12942512955512,5.743934293356931,40.886183357206974,102.6441683560876,0.556883784082,81.93289032814208,3986.7006299845584,33.8,49.27237575222659,1293.2325900037415,9.7,51.66898773772731,11.0,214.4788985701522
