date,GW_01,GW_02,GW_03,GW_04,GW_05,GW_06,GW_07,GW_08,GW_09,GW_10,GW_11,GW_12,GW_13,GW_14,GW_15,GW_16,GW_17,GW_18,GW_19,GW_20,GW_21,GW_AV,GW_CH,GW_EW,GW_HF,GW_IM,GW_MJ,GW_MWD,GW_OW,GW_SBV,GW_SC,GW_SD,GW_VC
1921-10-31,30699.76545,142434.48863,111989.42886,91157.51494,84749.44452000002,127857.76652,36370.1237,174746.98331,190972.6552,198890.51776,84685.727081673,92341.73185980711,198796.61898000003,303336.62530259625,362204.70301,88712.14692,89531.8348,277287.82328,154542.07405,147780.8518,415749.93266,20003.1062,3496.1710000000003,7019.23056,250.0,932.747,2595.146,728.336,30000.98,2497.956,457.337,7014.692750292498,288.3945
1921-11-30,30516.6741,142477.19247,112033.67157,91156.68125,84794.17922000002,127894.87064,36435.50831,174875.77577,191074.38099,198907.0036,84689.069961673,92347.47782257471,198909.30388,303395.06855231983,362288.86175,88742.24478,89555.3355,277361.3655,154573.02109,147863.88596,415861.14132,20004.80756,3484.7513000000004,7032.28292,250.0,933.024,2615.8575,700.109,30003.86,2512.7740000000003,495.779,7028.391550292498,300.164
1921-12-31,30441.25055,142566.28271,112171.07362,91226.3797,84880.62104000003,127961.12188,36488.7636,175017.36654000002,191162.44507,198976.19764,84716.634241673,92373.34648596912,199130.70098,303481.00108353404,362458.04689,88786.63278,89583.5771,277497.74228,154622.35588,147953.15796,415990.80082,20035.833560000003,3530.4393000000005,7047.6736,250.0,941.417,2643.1885,676.3580000000001,30006.83,2525.4930000000004,532.663,7043.171550292498,308.643
1922-01-31,30380.9454,142615.47436,112261.69706,91194.91238,84941.22178000002,127999.25992,36513.57746,175104.87937,191191.15475,199029.94916,84747.740921673,92397.80375596911,199323.04050000003,303556.5817746791,362655.09413,88844.78764,89666.2892,277668.57184,154663.05802,148046.76576,416110.76539,20045.721640000003,3544.4103000000005,7058.3514000000005,250.0,947.794,2680.6925,652.235,30009.890000000003,2536.6020000000003,588.7619749853582,7054.509550292498,309.956
1922-02-28,30353.7334,142846.71338,112381.8498,91272.87854,85040.01289000003,128123.49176,36574.38827,175307.68319,191253.64282,199130.93244,84794.152481673,92428.25692509158,199589.3029473592,303642.8449058144,362835.80614,88907.7926,89800.521,277833.0928,154700.85368,148137.55984,416233.95361,20046.917920000004,3544.4018000000005,7064.47872,250.0,953.966,2707.603,627.308,30013.380000000005,2547.9550000000004,628.138241252982,7058.906350292498,310.25199999999995
1922-03-31,30308.32475,142943.92159,112467.02269,91244.23933,85132.38769000003,128203.26632,36613.97138,175449.98690000002,191253.37368,199214.53448,84848.82101231939,92502.75963964318,199878.2180291596,303711.5251926061,363108.02245,88982.81426,89914.7644,278039.96332,154735.67353,148229.53388,416353.76564,20049.895320000003,3548.4560000000006,7071.7128,250.0,954.799,2742.318,603.019,30018.430000000004,2560.0520000000006,654.546241252982,7065.4833502924985,305.12449999999995
1922-04-30,30264.62715,143046.95158000002,112561.95697,91319.13666000002,85264.13073000003,128291.82213418582,36672.35079,175583.04460478693,191269.01261,199290.36328,84913.73057231939,92605.85609909316,200178.937436983,303762.9157885587,363346.44618,89081.69962,89969.0013,278153.8233038684,154766.03593,148312.39824,416445.55997,20053.962960000004,3540.1509000000005,7087.70852,250.0,955.377,2758.8675,603.097,30015.1,2561.191123155505,655.0,7073.999150292499,290.78149999999994
1922-05-31,30236.77725,143155.40489000003,112631.0251,91403.84624,85546.66856000003,128334.25084595404,36753.15867,175659.825953558,191358.26706,199315.53312389983,84920.87709231938,92664.36116909316,200351.473636983,303813.1270627443,363626.64879,89138.619,90084.00043624804,278070.9593038684,154794.53498000003,148393.87972,416557.01083,20060.961160000006,3533.9762000000005,7076.33684,250.0,955.814,2771.1695,613.843,30006.930000000004,2558.893123155505,655.0,7087.313750292498,269.75699999999995
1922-06-30,30197.85115,143211.81827000005,112709.60791000002,91508.43545900386,85652.02060000003,128349.89096435404,36799.47132878789,175696.52901363728,191377.56632,199306.01095646725,84965.61989231937,92752.56854909318,200517.770836983,303851.43004701874,363936.44297999993,89178.21076,90081.83820565876,278010.6371038684,154821.19903000002,148472.44568,416611.0305974704,20069.627400000005,3534.2723000000005,7067.05828,250.0,956.344,2776.04,640.9069999999999,29994.880000000005,2562.932123155505,655.0,7066.238678982825,257.384
1922-07-31,30152.72515,143221.38936000006,112790.31213000002,91618.95145900386,85704.06964000003,128372.80964435404,36784.26128848486,175596.55403569873,191373.87474,199279.8486539625,84945.24301231938,92712.6703990932,200609.61811698295,303892.7510445804,364051.9515656229,89188.51222,89992.13940565876,277957.15236386843,154841.55799541535,148550.35548,416642.4823490514,20079.019960000005,3529.1834000000003,7056.7814,250.0,957.004,2758.689,674.7629999999999,29973.110000000004,2569.4001231555053,655.0,7045.075582042993,265.9485
