date,PMP_Banks-D800,PMP_Tracy-D701
1921-10-31,355.0757526927921,258.25
1921-11-30,271.0734595842931,159.7891479246019
1921-12-31,224.72515000000004,258.25
1922-01-31,373.53522581931554,258.25
1922-02-28,445.0,255.46
1922-03-31,464.0,282.84
1922-04-30,397.0,273.72
1922-05-31,411.0,282.79
1922-06-30,397.0,273.72
1922-07-31,326.0505000000001,258.25
1922-08-31,344.94910838137685,258.25
1922-09-30,236.21550000000005,249.92
1922-10-31,289.2870731518628,197.1524268481373
1922-11-30,346.3316242515235,155.74592574847648
1922-12-31,453.0,282.92
1923-01-31,509.0,282.84
1923-02-28,306.1336500000001,233.25
1923-03-31,283.28000000000003,258.25
1923-04-30,397.0,273.72
1923-05-31,348.9113760043099,258.25
1923-06-30,301.27495752717994,249.92
1923-07-31,180.15450000000004,258.25
1923-08-31,193.2375655520888,258.25
1923-09-30,292.07050000000004,249.92
1923-10-31,325.6113899582952,184.5741100417049
1923-11-30,263.1706016477147,128.42247641787674
1923-12-31,179.68083916326313,169.02909883565567
1924-01-31,188.86,121.84625467133291
1924-02-29,213.23,101.34565000000006
1924-03-31,236.07,79.39314999999996
1924-04-30,182.76,56.96549999999999
1924-05-31,188.86,121.12925503661864
1924-06-30,228.46,224.97152840314325
1924-07-31,94.42150239332145,47.36399760667858
1924-08-31,94.43,89.65846306685364
1924-09-30,182.76,117.9465
1924-10-31,296.16862891373177,44.615371086268254
1924-11-30,200.88763704196185,95.01491295803812
1924-12-31,188.86,180.77715
1925-01-31,188.86,105.89369999999997
1925-02-28,408.0,255.46
1925-03-31,283.28000000000003,182.63615000000004
1925-04-30,397.0,273.72
1925-05-31,289.8058870967744,258.25
1925-06-30,335.64800799205005,249.92
1925-07-31,141.64,132.81549999999996
1925-08-31,267.805,258.25
1925-09-30,201.86116305885767,195.16733694114237
1925-10-31,308.4467503189433,65.25574968105673
1925-11-30,250.81437407638848,128.56317592361145
1925-12-31,176.9213254427418,169.38682455725822
1926-01-31,212.02957081240152,134.659708260068
1926-02-28,358.2546500000001,233.25
1926-03-31,283.28000000000003,118.22515000000004
1926-04-30,381.7827000000001,249.92
1926-05-31,283.28000000000003,234.525
1926-06-30,274.15,236.042
1926-07-31,141.64,150.0155
1926-08-31,267.805,258.25
1926-09-30,191.73625976541132,164.0432402345887
1926-10-31,283.28000000000003,77.94450000000006
1926-11-30,318.1924282266001,143.39312177339988
1926-12-31,188.86,172.70614999999998
1927-01-31,285.05147852638123,258.25
1927-02-28,427.0,255.46
1927-03-31,439.0,282.84
1927-04-30,397.0,273.72
1927-05-31,310.78900553359694,258.25
1927-06-30,324.33295422860914,249.92
1927-07-31,270.388,258.25
1927-08-31,298.0964132411289,258.25
1927-09-30,321.9655,249.92
1927-10-31,330.5,216.66650000000004
1927-11-30,319.84,115.17672264015874
1927-12-31,204.1068962088515,238.39325379114845
1928-01-31,236.07,198.0287
1928-02-29,255.87,216.94765
1928-03-31,468.0,282.84
1928-04-30,397.0,273.72
1928-05-31,236.07,157.9038397541066
1928-06-30,206.37164220731728,151.9552875619425
1928-07-31,198.1815,258.25
1928-08-31,143.53046306685377,258.25
1928-09-30,294.37250000000006,249.92
1928-10-31,330.5,136.1825
1928-11-30,319.84,134.28455000000002
1928-12-31,188.86,184.67014999999992
1929-01-31,188.86,122.1087
1929-02-28,213.23,129.84865
1929-03-31,236.07,117.69514999999998
